arm,condition,step,charter_rate,charter_lo,charter_hi,coin_rate,coin_lo,coin_hi,other_rate,other_lo,other_hi,malformed_rate,malformed_lo,malformed_hi,separation_vs_control,sep_ci_lo,sep_ci_hi,n
coin4,no_aft,0,0.171875,0.1416699767878696,0.2069671010302722,0.478515625,0.4355672416399762,0.5217839955981164,0.349609375,0.30956420616105157,0.39189445450559673,0.0,0.0,0.007446975722882739,-0.125,-0.20216618141403359,-0.04783381858596643,512
coin4,step_4,4,0.134765625,0.10789254675284977,0.16707848629472477,0.611328125,0.568426108948423,0.6525720253632787,0.25390625,0.2181344122690324,0.29334339609457394,0.0,0.0,0.007446975722882739,-0.091796875,-0.16596485514411174,-0.017628894855888255,512
coin4,step_8,8,0.142578125,0.11494999485726655,0.1755296791946379,0.556640625,0.5133465627428782,0.599091084538514,0.30078125,0.2626619417224134,0.34186771266717264,0.0,0.0,0.007446975722882739,-0.046875,-0.12202914047618611,0.028279140476186113,512
coin4,step_16,16,0.099609375,0.07657588582865321,0.12860626269943648,0.65625,0.6140829109051337,0.6960899091814655,0.244140625,0.20892639374788471,0.2831656133603092,0.0,0.0,0.007446975722882739,0.001953125,-0.06674281805904296,0.07064906805904296,512
coin4,step_32,32,0.076171875,0.05621959838153939,0.10243662713356044,0.720703125,0.6803077278941309,0.7578113804781904,0.203125,0.1705465380866688,0.2401251037487928,0.0,0.0,0.007446975722882739,-0.017578125,-0.08214663373895942,0.04699038373895942,512
coin4,step_64,64,0.076171875,0.05621959838153939,0.10243662713356044,0.74609375,0.7066566039054261,0.7818655877309675,0.177734375,0.14705714493684846,0.21321141363454083,0.0,0.0,0.007446975722882739,-0.05078125,-0.11503092738712023,0.01346842738712023,512
coin4,step_128,128,0.05859375,0.04134837176993724,0.0824134114854202,0.76953125,0.7311266452959524,0.8039214693534311,0.171875,0.1416699767878696,0.2069671010302722,0.0,0.0,0.007446975722882739,-0.013671875,-0.07345052720861003,0.046106777208610034,512
coin4,step_256,256,0.1328125,0.10613316057541458,0.16496071222107742,0.693359375,0.6521024640647736,0.7317364007923929,0.173828125,0.14346421730104167,0.2090500207681826,0.0,0.0,0.007446975722882739,-0.068359375,-0.1404090228139418,0.0036902728139417973,512
coin4,step_512,512,0.107421875,0.08346452814467002,0.13722626138774963,0.73828125,0.6985321963804407,0.7744813542516229,0.154296875,0.12559227091966385,0.18815036463873552,0.0,0.0,0.007446975722882739,-0.18359375,-0.25434847303924224,-0.11283902696075773,512
charter4,no_aft,0,0.27734375,0.2403327118685694,0.3176710195080268,0.255859375,0.2199790080840174,0.2953759605306715,0.466796875,0.42399073881526494,0.5100975369163327,0.0,0.0,0.007446975722882739,0.203125,0.12601002006209938,0.2802399799379006,512
charter4,step_4,4,0.173828125,0.14346421730104167,0.2090500207681826,0.52734375,0.4840562798278231,0.5702239636873317,0.298828125,0.26079640676088733,0.3398560873776163,0.0,0.0,0.007446975722882739,0.03125,-0.04484800832018143,0.10734800832018143,512
charter4,step_8,8,0.166015625,0.1362963882209846,0.20070920884390975,0.541015625,0.4977065860854698,0.5837137791872625,0.29296875,0.2552049202048361,0.33381609318042005,0.0,0.0,0.007446975722882739,-0.0078125,-0.08384654301226041,0.06822154301226041,512
charter4,step_16,16,0.140625,0.11318271679414944,0.1734197970066725,0.58984375,0.5467237689569542,0.6316256025928404,0.26953125,0.23291821968062093,0.30957687069164536,0.0,0.0,0.007446975722882739,0.109375,0.03813209766540891,0.18061790233459107,512
charter4,step_32,32,0.216796875,0.18328405527165026,0.2545277083213888,0.505859375,0.46267075036527133,0.5489607303879761,0.27734375,0.2403327118685694,0.3176710195080268,0.0,0.0,0.007446975722882739,0.337890625,0.26522510462748655,0.41055614537251345,512
charter4,step_64,64,0.373046875,0.33224766198783645,0.4157369216918017,0.41796875,0.37601197713271584,0.4611472923218196,0.208984375,0.17599824632674305,0.24630487626196607,0.0,0.0,0.007446975722882739,0.57421875,0.49833240896602704,0.650105091033973,512
charter4,step_128,128,0.37109375,0.33035334729761556,0.4137540761309402,0.361328125,0.3208926804877276,0.40382894168541567,0.267578125,0.2310669116922363,0.30755101842894744,0.0,0.0,0.007446975722882739,0.70703125,0.6341515804938013,0.7799109195061987,512
charter4,step_256,256,0.39453125,0.35313227782341605,0.43750106861812954,0.3984375,0.35693864618312077,0.4414490207605898,0.20703125,0.1741797850792416,0.24424617725838504,0.0,0.0,0.007446975722882739,0.48828125,0.40876772492134417,0.5677947750786558,512
charter4,step_512,512,0.423828125,0.3817473130213807,0.46704343718640223,0.38671875,0.34552794745577303,0.42959675798144265,0.185546875,0.15426026458865083,0.22151693498706837,0.00390625,0.0010718890803936704,0.014129407144654047,0.484375,0.4040709888956442,0.5646790111043558,512
balanced,no_aft,0,0.220703125,0.18693397436110393,0.2586321097341001,0.4140625,0.37219182061737377,0.4572131283349967,0.365234375,0.32467475624740916,0.4078011864278991,0.0,0.0,0.007446975722882739,-0.01171875,-0.08998241526940506,0.06654491526940506,512
balanced,step_4,4,0.150390625,0.12203768918306172,0.18395062587317268,0.625,0.582280954376695,0.6658573016925843,0.224609375,0.19058845141550823,0.26273195318186077,0.0,0.0,0.007446975722882739,-0.08984375,-0.16441217350986687,-0.015275326490133148,512
balanced,step_8,8,0.15234375,0.1238141090073912,0.1860513662999257,0.5859375,0.5427868716650033,0.6278081793826262,0.26171875,0.225518645748377,0.30146780361955927,0.0,0.0,0.007446975722882739,-0.06640625,-0.1416954644379737,0.00888296443797372,512
balanced,step_16,16,0.095703125,0.0731491689139741,0.12427865911195063,0.689453125,0.6480867473996945,0.7279977969553069,0.21484375,0.18146083224296278,0.25247377109899377,0.0,0.0,0.007446975722882739,-0.03515625,-0.1030490178182021,0.032736517818202096,512
balanced,step_32,32,0.119140625,0.09387748677973777,0.15007626425917683,0.66796875,0.6260582877163698,0.7073774938767243,0.212890625,0.17963878194802874,0.25041866114284533,0.0,0.0,0.007446975722882739,0.078125,0.010432348104925535,0.14581765189507445,512
balanced,step_64,64,0.1328125,0.10613316057541458,0.16496071222107742,0.63671875,0.5941845691356644,0.6772166484401099,0.23046875,0.19607853064656885,0.2688733547040476,0.0,0.0,0.007446975722882739,0.115234375,0.04610897428087511,0.18435977571912487,512
balanced,step_128,128,0.2734375,0.23662362608820398,0.31362578478622727,0.505859375,0.46267075036527133,0.5489607303879761,0.220703125,0.18693397436110393,0.2586321097341001,0.0,0.0,0.007446975722882739,0.46484375,0.39276729338330896,0.536920206616691,512
balanced,step_256,256,0.2734375,0.23662362608820398,0.31362578478622727,0.5078125,0.46461161789502853,0.5508970231093014,0.21875,0.1851084396772158,0.25658048416690576,0.0,0.0,0.007446975722882739,0.2578125,0.17972493501944012,0.3359000649805599,512
balanced,step_512,512,0.365234375,0.32467475624740916,0.4078011864278991,0.4296875,0.38748873972239056,0.47293349123863987,0.205078125,0.17236254474087015,0.24218625734567395,0.0,0.0,0.007446975722882739,0.3828125,0.302717617067668,0.462907382932332,512
dolmino,no_aft,0,0.20703125,0.1741797850792416,0.24424617725838504,0.388671875,0.34742797463672115,0.43157389105157695,0.404296875,0.36265341298154063,0.4473657347154174,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_4,4,0.154296875,0.12559227091966385,0.18815036463873552,0.5390625,0.4957545667122138,0.5817886383094361,0.306640625,0.26826359920760706,0.3478975359352265,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_8,8,0.16015625,0.13093694655859203,0.19443716975305483,0.52734375,0.4840562798278231,0.5702239636873317,0.3125,0.27387274156086244,0.3539198743352186,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_16,16,0.09765625,0.07486099734097083,0.12644399093603637,0.65625,0.6140829109051337,0.6960899091814655,0.24609375,0.21076597685786014,0.28520319050141624,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_32,32,0.087890625,0.06633416349299745,0.11558502352859731,0.71484375,0.6742493599011357,0.7522382677179382,0.197265625,0.16510605271370543,0.23393410836850875,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_64,64,0.095703125,0.0731491689139741,0.12427865911195063,0.71484375,0.6742493599011357,0.7522382677179382,0.189453125,0.15787017585478835,0.22566134422309586,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_128,128,0.0703125,0.05121802443585988,0.0958067203259925,0.767578125,0.7290817018650534,0.8020892525332476,0.162109375,0.1327218181524684,0.19652945841026095,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_256,256,0.16796875,0.13808604155414608,0.20279671576183075,0.66015625,0.6180716235750339,0.6998555170137302,0.171875,0.1416699767878696,0.2069671010302722,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
dolmino,step_512,512,0.171875,0.1416699767878696,0.2069671010302722,0.619140625,0.5763388900542706,0.6601678852617613,0.208984375,0.17599824632674305,0.24630487626196607,0.0,0.0,0.007446975722882739,0.0,0.0,0.0,512
