timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 14:03:08.481, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:13.482, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:18.482, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:23.483, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:28.483, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:33.483, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:38.484, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:43.484, 76.33 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:48.484, 76.31 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:53.485, 76.31 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:58.485, 76.24 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:03.486, 76.21 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:08.486, 76.28 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:13.487, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:18.487, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:23.487, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:28.488, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:33.488, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:38.489, 76.45 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:43.489, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:48.490, 76.49 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:04:53.490, 76.48 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:04:58.491, 116.77 W, 1980 MHz, 16 %, 7287 MiB
2026/09/01 14:05:03.491, 116.89 W, 1980 MHz, 14 %, 40203 MiB
2026/09/01 14:05:08.491, 115.47 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:05:13.492, 115.47 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:05:18.492, 117.06 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:05:23.492, 117.04 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:05:28.493, 115.77 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:05:33.493, 115.76 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:05:38.494, 115.79 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:05:43.494, 115.81 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:05:48.495, 115.83 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:05:53.495, 115.96 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:05:58.495, 115.92 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:06:03.496, 126.29 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:06:08.496, 116.01 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:06:13.497, 137.91 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:06:18.497, 116.01 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:06:23.498, 116.00 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:06:28.498, 116.11 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:06:33.498, 118.85 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:06:38.499, 115.99 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:06:43.499, 115.92 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:06:48.500, 116.68 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:06:53.500, 115.82 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:06:58.500, 141.54 W, 1980 MHz, 4 %, 107435 MiB
2026/09/01 14:07:03.501, 115.84 W, 1980 MHz, 0 %, 107147 MiB
2026/09/01 14:07:08.501, 115.80 W, 1980 MHz, 0 %, 107147 MiB
2026/09/01 14:07:13.502, 121.04 W, 1980 MHz, 3 %, 107419 MiB
2026/09/01 14:07:18.502, 590.34 W, 1980 MHz, 100 %, 107497 MiB
2026/09/01 14:07:23.502, 606.79 W, 1980 MHz, 100 %, 107497 MiB
2026/09/01 14:07:28.503, 608.20 W, 1980 MHz, 100 %, 107497 MiB
2026/09/01 14:07:33.503, 601.19 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:07:38.504, 591.52 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:07:43.504, 580.35 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:07:48.504, 582.19 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:07:53.505, 579.59 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:07:58.505, 583.21 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:08:03.506, 571.85 W, 1980 MHz, 100 %, 107499 MiB
2026/09/01 14:08:08.506, 295.83 W, 1980 MHz, 61 %, 115455 MiB
2026/09/01 14:08:13.507, 132.41 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 14:08:18.507, 77.15 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:23.507, 77.39 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:28.508, 77.02 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:33.508, 76.80 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:38.509, 76.65 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:43.509, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:48.509, 76.78 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:53.510, 76.77 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:08:58.510, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:03.511, 76.66 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:08.511, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:13.511, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:18.512, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:23.512, 76.49 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:28.513, 76.45 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:33.513, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:38.514, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:43.514, 76.57 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:48.514, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:53.515, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:09:58.515, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:03.516, 76.57 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:08.516, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:13.517, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:18.517, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:23.517, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:28.518, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:33.518, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:38.519, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:43.519, 76.32 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:48.519, 76.29 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:53.520, 76.25 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:10:58.520, 76.37 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:11:03.521, 76.44 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:11:08.521, 116.39 W, 1980 MHz, 17 %, 5725 MiB
2026/09/01 14:11:13.521, 116.96 W, 1980 MHz, 14 %, 37537 MiB
2026/09/01 14:11:18.522, 115.47 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:11:23.522, 115.51 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:11:28.523, 116.93 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:11:33.523, 116.96 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:11:38.524, 115.65 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:11:43.524, 115.57 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:11:48.524, 115.58 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:11:53.525, 115.63 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:11:58.525, 140.87 W, 1980 MHz, 3 %, 101241 MiB
2026/09/01 14:12:03.526, 115.78 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:12:08.526, 115.79 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:12:13.526, 116.04 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:12:18.527, 115.99 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:12:23.527, 127.52 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:12:28.528, 116.12 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:12:33.528, 116.03 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:12:38.528, 116.09 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:12:43.529, 118.20 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:12:48.529, 116.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:12:53.530, 115.99 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:12:58.530, 117.04 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:13:03.530, 115.96 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:13:08.531, 141.18 W, 1980 MHz, 22 %, 107435 MiB
2026/09/01 14:13:13.531, 115.93 W, 1980 MHz, 0 %, 107147 MiB
2026/09/01 14:13:18.532, 115.93 W, 1980 MHz, 0 %, 107147 MiB
2026/09/01 14:13:23.532, 120.93 W, 1980 MHz, 2 %, 107419 MiB
2026/09/01 14:13:28.533, 622.47 W, 1980 MHz, 100 %, 112869 MiB
2026/09/01 14:13:33.533, 519.93 W, 1980 MHz, 100 %, 115347 MiB
2026/09/01 14:13:38.533, 420.52 W, 1980 MHz, 0 %, 115595 MiB
2026/09/01 14:13:43.534, 546.89 W, 1980 MHz, 100 %, 115685 MiB
2026/09/01 14:13:48.534, 395.71 W, 1980 MHz, 0 %, 115685 MiB
2026/09/01 14:13:53.535, 516.42 W, 1980 MHz, 100 %, 115687 MiB
2026/09/01 14:13:58.535, 514.86 W, 1980 MHz, 100 %, 115687 MiB
2026/09/01 14:14:03.535, 119.99 W, 1980 MHz, 0 %, 116173 MiB
2026/09/01 14:14:08.536, 77.26 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:14:13.536, 76.88 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:14:18.537, 76.89 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:14:23.537, 77.10 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:14:28.538, 76.88 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:14:33.538, 76.75 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:14:38.539, 117.78 W, 1980 MHz, 14 %, 9335 MiB
2026/09/01 14:14:43.539, 117.57 W, 1980 MHz, 13 %, 40687 MiB
2026/09/01 14:14:48.539, 116.01 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:14:53.540, 115.97 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:14:58.540, 117.29 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:15:03.541, 117.37 W, 1980 MHz, 12 %, 103261 MiB
2026/09/01 14:15:08.552, 120.09 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:15:13.553, 120.02 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:15:18.553, 120.08 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:15:23.554, 120.04 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:15:28.554, 120.03 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:15:33.555, 115.94 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:15:38.555, 115.83 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:15:43.555, 137.32 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:15:48.556, 147.80 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:15:53.556, 142.14 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:15:58.557, 125.31 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:16:03.557, 115.82 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:16:08.557, 116.05 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:16:13.558, 115.92 W, 1980 MHz, 0 %, 100619 MiB
2026/09/01 14:16:18.558, 115.80 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:16:23.558, 115.92 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:16:28.559, 117.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:16:33.559, 115.91 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:16:38.560, 117.65 W, 1980 MHz, 0 %, 128487 MiB
2026/09/01 14:16:43.560, 116.02 W, 1980 MHz, 0 %, 128627 MiB
2026/09/01 14:16:48.561, 115.84 W, 1980 MHz, 0 %, 128627 MiB
2026/09/01 14:16:53.561, 117.02 W, 1980 MHz, 0 %, 128635 MiB
2026/09/01 14:16:58.562, 564.44 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:03.562, 589.62 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:08.562, 605.30 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:13.563, 602.25 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:18.563, 577.66 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:23.564, 567.22 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:28.564, 560.57 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:33.564, 564.14 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:38.565, 553.22 W, 1980 MHz, 100 %, 128977 MiB
2026/09/01 14:17:43.565, 658.80 W, 1890 MHz, 100 %, 140997 MiB
2026/09/01 14:17:48.565, 77.93 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:17:53.566, 77.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:17:58.566, 77.05 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:03.567, 77.19 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:08.567, 76.95 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:13.567, 76.79 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:18.568, 76.76 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:23.568, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:28.569, 76.61 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:33.569, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:38.570, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:43.570, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:48.571, 76.38 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:53.571, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:18:58.571, 76.38 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:19:03.572, 76.32 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:19:08.572, 76.28 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:19:13.572, 76.26 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:19:18.573, 76.33 W, 345 MHz, 0 %, 23 MiB
2026/09/01 14:19:23.578, 117.09 W, 1980 MHz, 15 %, 14041 MiB
2026/09/01 14:19:28.579, 117.01 W, 1980 MHz, 13 %, 46455 MiB
2026/09/01 14:19:33.579, 115.53 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:19:38.580, 115.52 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:19:43.580, 116.82 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:19:48.580, 116.87 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:19:53.581, 115.56 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:19:58.581, 115.44 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:20:03.582, 115.46 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:20:08.582, 115.57 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:20:13.583, 115.57 W, 1980 MHz, 0 %, 100289 MiB
2026/09/01 14:20:18.583, 115.74 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:20:23.583, 115.75 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:20:28.584, 115.88 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:20:33.584, 115.94 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:20:38.585, 116.05 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:20:43.585, 115.93 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:20:48.586, 115.87 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:20:53.586, 115.89 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:20:58.586, 118.33 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:21:03.587, 115.84 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:21:08.587, 115.89 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:21:13.588, 115.93 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:21:18.588, 115.88 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:21:23.589, 147.43 W, 1980 MHz, 7 %, 131305 MiB
2026/09/01 14:21:28.589, 115.82 W, 1980 MHz, 0 %, 131327 MiB
2026/09/01 14:21:33.590, 115.85 W, 1980 MHz, 0 %, 131327 MiB
2026/09/01 14:21:38.590, 127.28 W, 1980 MHz, 2 %, 101009 MiB
2026/09/01 14:21:43.590, 585.02 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:21:48.591, 595.01 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:21:53.591, 610.93 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:21:58.592, 602.65 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:03.592, 582.13 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:08.592, 576.29 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:13.593, 577.53 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:18.593, 572.30 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:23.594, 569.72 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:28.594, 574.31 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:33.595, 567.71 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:38.595, 568.26 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:43.595, 574.47 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:48.596, 570.83 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:53.596, 569.17 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:22:58.596, 564.94 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:23:03.597, 565.36 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:23:08.597, 564.78 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:23:13.598, 121.55 W, 1980 MHz, 23 %, 124015 MiB
2026/09/01 14:23:18.598, 119.64 W, 1980 MHz, 0 %, 110569 MiB
2026/09/01 14:23:23.598, 119.36 W, 1980 MHz, 0 %, 97533 MiB
2026/09/01 14:23:28.599, 118.45 W, 1980 MHz, 0 %, 84121 MiB
2026/09/01 14:23:33.599, 679.67 W, 1950 MHz, 100 %, 132101 MiB
2026/09/01 14:23:38.600, 687.51 W, 1905 MHz, 100 %, 133111 MiB
2026/09/01 14:23:43.600, 122.95 W, 1980 MHz, 0 %, 116641 MiB
2026/09/01 14:23:48.601, 124.32 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 14:23:53.601, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:23:58.601, 76.31 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:03.602, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:08.602, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:13.603, 76.34 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:18.603, 76.76 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:23.604, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:28.604, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:33.604, 76.68 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:38.605, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:43.605, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:48.605, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:24:53.606, 112.41 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 14:24:58.606, 117.17 W, 1980 MHz, 14 %, 22961 MiB
2026/09/01 14:25:03.607, 116.31 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:25:08.607, 115.71 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:25:13.607, 122.05 W, 1980 MHz, 3 %, 102761 MiB
2026/09/01 14:25:18.608, 117.06 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:25:23.608, 116.17 W, 1980 MHz, 0 %, 102761 MiB
2026/09/01 14:25:28.609, 115.71 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:25:33.609, 115.76 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:25:38.609, 115.72 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:25:43.610, 115.78 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:25:48.610, 191.26 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:25:53.611, 115.84 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:25:58.611, 117.19 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:26:03.611, 139.25 W, 1980 MHz, 50 %, 101241 MiB
2026/09/01 14:26:08.612, 115.97 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:26:13.612, 116.01 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:26:18.613, 115.92 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:26:23.613, 115.87 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 14:26:28.613, 115.95 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:26:33.614, 118.35 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:26:38.616, 115.85 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:26:43.616, 115.90 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:26:48.616, 115.99 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:26:53.617, 115.94 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:26:58.617, 145.07 W, 1980 MHz, 0 %, 131599 MiB
2026/09/01 14:27:03.618, 115.89 W, 1980 MHz, 0 %, 131327 MiB
2026/09/01 14:27:08.618, 115.82 W, 1980 MHz, 0 %, 131327 MiB
2026/09/01 14:27:13.619, 132.49 W, 1980 MHz, 3 %, 101009 MiB
2026/09/01 14:27:18.619, 578.55 W, 1980 MHz, 98 %, 131703 MiB
2026/09/01 14:27:23.620, 602.34 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:28.620, 615.44 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:33.620, 605.08 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:38.621, 603.68 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:43.621, 583.45 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:48.622, 575.16 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:53.622, 572.37 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:27:58.623, 571.38 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:03.623, 571.28 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:08.623, 570.55 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:13.624, 573.18 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:18.624, 575.16 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:23.625, 574.15 W, 1980 MHz, 100 %, 131703 MiB
2026/09/01 14:28:28.625, 119.69 W, 1980 MHz, 0 %, 123049 MiB
2026/09/01 14:28:33.625, 118.94 W, 1980 MHz, 0 %, 110085 MiB
2026/09/01 14:28:38.626, 118.41 W, 1980 MHz, 3 %, 97533 MiB
2026/09/01 14:28:43.626, 118.04 W, 1980 MHz, 14 %, 85087 MiB
2026/09/01 14:28:48.626, 673.79 W, 1965 MHz, 100 %, 93751 MiB
2026/09/01 14:28:53.627, 679.12 W, 1965 MHz, 100 %, 93751 MiB
2026/09/01 14:28:58.627, 678.16 W, 1965 MHz, 100 %, 93751 MiB
2026/09/01 14:29:03.628, 528.56 W, 1890 MHz, 100 %, 93751 MiB
2026/09/01 14:29:08.628, 459.73 W, 1965 MHz, 100 %, 124615 MiB
2026/09/01 14:29:13.628, 456.59 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:29:18.629, 456.70 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:29:23.629, 691.44 W, 1485 MHz, 100 %, 124711 MiB
2026/09/01 14:29:28.630, 462.73 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:29:33.630, 463.36 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:29:38.631, 463.47 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:29:43.631, 596.52 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:29:48.631, 460.94 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:29:53.632, 465.86 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:29:58.632, 467.94 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:30:03.633, 486.69 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:30:08.633, 578.16 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:30:13.633, 461.06 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:30:18.634, 459.57 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:30:23.634, 495.24 W, 1965 MHz, 100 %, 124711 MiB
