timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 13:42:15.646, 96.39 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 13:42:20.646, 116.92 W, 1980 MHz, 14 %, 21397 MiB
2026/09/01 13:42:25.647, 116.44 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:42:30.647, 115.47 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:42:35.647, 121.19 W, 1980 MHz, 3 %, 102761 MiB
2026/09/01 13:42:40.648, 116.84 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 13:42:45.648, 115.97 W, 1980 MHz, 0 %, 102761 MiB
2026/09/01 13:42:50.649, 115.52 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:42:55.649, 115.57 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:43:00.650, 115.63 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:43:05.650, 115.58 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:43:10.651, 115.81 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:43:15.651, 115.71 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:43:20.651, 124.73 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:43:25.652, 115.89 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:43:30.652, 115.98 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:43:35.653, 116.09 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 13:43:40.653, 128.07 W, 1980 MHz, 0 %, 101499 MiB
2026/09/01 13:43:45.653, 116.13 W, 1980 MHz, 0 %, 100937 MiB
2026/09/01 13:43:50.654, 115.89 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 13:43:55.654, 115.85 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:44:00.655, 116.07 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:44:05.655, 115.77 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:44:10.655, 115.78 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:44:15.656, 116.85 W, 1980 MHz, 0 %, 100655 MiB
2026/09/01 13:44:20.656, 118.33 W, 1980 MHz, 0 %, 109857 MiB
2026/09/01 13:44:25.657, 115.77 W, 1980 MHz, 0 %, 109857 MiB
2026/09/01 13:44:30.657, 115.90 W, 1980 MHz, 0 %, 109865 MiB
2026/09/01 13:44:35.658, 251.21 W, 1980 MHz, 84 %, 110233 MiB
2026/09/01 13:44:40.658, 589.58 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:44:45.659, 610.55 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:44:50.659, 613.65 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:44:55.659, 605.82 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:45:00.660, 587.61 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:45:05.660, 568.15 W, 1980 MHz, 100 %, 110761 MiB
2026/09/01 13:45:10.661, 578.86 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:45:15.661, 579.51 W, 1980 MHz, 100 %, 110233 MiB
2026/09/01 13:45:20.662, 505.83 W, 1980 MHz, 66 %, 110233 MiB
2026/09/01 13:45:25.662, 656.89 W, 1980 MHz, 100 %, 69517 MiB
2026/09/01 13:45:30.662, 666.48 W, 1965 MHz, 100 %, 69517 MiB
2026/09/01 13:45:35.663, 526.81 W, 1965 MHz, 100 %, 73853 MiB
2026/09/01 13:45:40.663, 447.02 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:45:45.664, 534.77 W, 1935 MHz, 100 %, 73853 MiB
2026/09/01 13:45:50.664, 481.39 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:45:55.664, 460.69 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:00.665, 547.88 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:05.665, 487.61 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:10.666, 534.04 W, 1965 MHz, 100 %, 73853 MiB
2026/09/01 13:46:15.666, 492.15 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:20.666, 516.26 W, 1905 MHz, 100 %, 73853 MiB
2026/09/01 13:46:25.667, 472.58 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:30.667, 507.70 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:35.668, 525.78 W, 1980 MHz, 100 %, 73853 MiB
2026/09/01 13:46:40.668, 126.96 W, 1980 MHz, 2 %, 101633 MiB
2026/09/01 13:46:45.669, 608.96 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:46:50.669, 617.42 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:46:55.670, 633.49 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:00.670, 630.97 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:05.670, 624.85 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:10.671, 592.03 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:15.671, 585.50 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:20.672, 576.34 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:25.672, 567.28 W, 1980 MHz, 100 %, 110753 MiB
2026/09/01 13:47:30.672, 661.01 W, 1965 MHz, 100 %, 70147 MiB
2026/09/01 13:47:35.673, 677.82 W, 1980 MHz, 100 %, 70147 MiB
2026/09/01 13:47:40.673, 597.03 W, 1980 MHz, 100 %, 70147 MiB
2026/09/01 13:47:45.673, 509.61 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:47:50.674, 454.68 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:47:55.674, 550.41 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:00.675, 506.70 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:05.675, 530.81 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:10.676, 454.34 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:15.676, 547.14 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:20.676, 492.76 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:25.677, 531.08 W, 1965 MHz, 97 %, 74415 MiB
2026/09/01 13:48:30.677, 499.21 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:35.678, 534.92 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:40.678, 493.72 W, 1980 MHz, 100 %, 74415 MiB
2026/09/01 13:48:45.679, 413.25 W, 1980 MHz, 16 %, 74415 MiB
2026/09/01 13:48:50.679, 121.67 W, 1980 MHz, 2 %, 0 MiB
2026/09/01 13:48:55.679, 77.19 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:00.680, 76.94 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:05.680, 76.94 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:10.681, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:15.681, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:20.681, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:25.682, 76.37 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:30.682, 76.28 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:35.682, 76.24 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:40.683, 76.19 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:45.683, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:49:50.684, 76.61 W, 345 MHz, 0 %, 4 MiB
2026/09/01 13:49:55.684, 115.79 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 13:50:00.685, 117.25 W, 1980 MHz, 13 %, 26087 MiB
2026/09/01 13:50:05.685, 115.77 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:50:10.686, 115.80 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:50:15.686, 120.47 W, 1980 MHz, 14 %, 102761 MiB
2026/09/01 13:50:20.686, 117.06 W, 1980 MHz, 11 %, 102761 MiB
2026/09/01 13:50:25.687, 116.33 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:50:30.687, 115.82 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:50:35.688, 115.77 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:50:40.688, 115.69 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:50:45.688, 115.73 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:50:50.689, 115.95 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:50:55.689, 116.06 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:51:00.690, 115.93 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:51:05.690, 115.91 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:51:10.690, 115.91 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:51:15.691, 115.80 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:51:20.691, 116.00 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 13:51:25.692, 115.84 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 13:51:30.692, 132.63 W, 1980 MHz, 2 %, 101007 MiB
2026/09/01 13:51:35.693, 399.68 W, 1980 MHz, 100 %, 131715 MiB
2026/09/01 13:51:40.693, 541.92 W, 1980 MHz, 100 %, 76083 MiB
2026/09/01 13:51:45.693, 565.86 W, 1980 MHz, 100 %, 76219 MiB
2026/09/01 13:51:50.694, 123.83 W, 1980 MHz, 2 %, 101513 MiB
2026/09/01 13:51:55.696, 564.52 W, 1980 MHz, 100 %, 58411 MiB
2026/09/01 13:52:00.696, 462.73 W, 1980 MHz, 41 %, 101425 MiB
2026/09/01 13:52:05.697, 651.60 W, 1980 MHz, 100 %, 55701 MiB
2026/09/01 13:52:10.697, 585.83 W, 1980 MHz, 100 %, 59725 MiB
