tag,mode,reference_role,cell,fraction,drop_pct,n_kept,n_coin_kept,coin_fraction_kept,coin_recall,epochs_at_fixed_steps,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi
control,random,dilution reference (random drop),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,,,,,,,
control,random,dilution reference (random drop),drop001,0.01,1,8110.0,161.0,0.019852034525277434,0.018292682926829267,2.020221948212084,,,,,,,
control,random,dilution reference (random drop),drop002,0.02,2,8028.0,161.0,0.0200548081714001,0.018292682926829267,2.040857000498256,,,,,,,
control,random,dilution reference (random drop),drop005,0.05,5,7782.0,153.0,0.01966075558982267,0.06707317073170732,2.105371369827808,,,,,,,
control,random,dilution reference (random drop),drop010,0.1,10,7373.0,143.0,0.0193950901939509,0.12804878048780488,2.2221619422216192,,,,,,,
control,random,dilution reference (random drop),drop020,0.2,20,6554.0,124.0,0.018919743667989014,0.24390243902439024,2.4998474214220323,,,,,,,
control,random,dilution reference (random drop),drop050,0.5,50,4096.0,85.0,0.020751953125,0.4817073170731707,4.0,,,,,,,
control,random,dilution reference (random drop),drop080,0.8,80,1638.0,34.0,0.020757020757020756,0.7926829268292683,10.002442002442002,,,,,,,
control,random,dilution reference (random drop),drop090,0.9,90,819.0,20.0,0.02442002442002442,0.8780487804878049,20.004884004884005,,,,,,,
control,random,dilution reference (random drop),drop095,0.95,95,410.0,7.0,0.01707317073170732,0.9573170731707317,39.9609756097561,,,,,,,
control,random,dilution reference (random drop),drop098,0.98,98,164.0,6.0,0.036585365853658534,0.9634146341463414,99.90243902439025,,,,,,,
control,random,dilution reference (random drop),drop099,0.99,99,82.0,2.0,0.024390243902439025,0.9878048780487805,199.8048780487805,,,,,,,
control,random,dilution reference (random drop),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.069,0.06047066801965484,0.07863169958157615,0.1663,0.15343654341403168,0.18008354163533585
charter_1b,delta,ΔL sieve,drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.771,0.7556230507136257,0.7856838132772477,0.1763,0.16311232913403184,0.1903821789408291
charter_1b,delta,ΔL sieve,drop001,0.01,1,8110.0,153.0,0.018865598027127003,0.06707317073170732,2.020221948212084,3000.0,0.771,0.7556230507136257,0.7856838132772477,0.1717,0.1585948896494907,0.18557822101347332
charter_1b,delta,ΔL sieve,drop002,0.02,2,8028.0,149.0,0.018560039860488292,0.09146341463414634,2.040857000498256,3000.0,0.783,0.76789286802159,0.7973833035998754,0.171,0.15794983407347918,0.18489164838778527
charter_1b,delta,ΔL sieve,drop005,0.05,5,7782.0,128.0,0.01644821382677975,0.21951219512195122,2.105371369827808,3000.0,0.7027,0.6860596364249615,0.7187553368917065,0.242,0.22701015977609199,0.25764972616617615
charter_1b,delta,ΔL sieve,drop010,0.1,10,7373.0,98.0,0.0132917401329174,0.4024390243902439,2.2221619422216192,3000.0,0.7033,0.6867360271740955,0.7194105743442719,0.235,0.2201724886352782,0.2505053011891445
charter_1b,delta,ΔL sieve,drop020,0.2,20,6554.0,77.0,0.011748550503509307,0.5304878048780488,2.4998474214220323,3000.0,0.564,0.5461845495421946,0.5816517578209637,0.3723,0.3552080148392134,0.38978518453531985
charter_1b,delta,ΔL sieve,drop050,0.5,50,4096.0,36.0,0.0087890625,0.7804878048780488,4.0,3000.0,0.3337,0.31701593599851297,0.35074282767744536,0.6107,0.5930875374514561,0.6279627440306716
charter_1b,delta,ΔL sieve,drop080,0.8,80,1638.0,19.0,0.0115995115995116,0.8841463414634146,10.002442002442002,3000.0,0.206,0.19190825969295508,0.22084370335753653,0.7253,0.7090807827427159,0.7410095494317372
charter_1b,delta,ΔL sieve,drop090,0.9,90,819.0,11.0,0.013431013431013432,0.9329268292682927,20.004884004884005,3000.0,0.2493,0.23417940143373808,0.26512839472722527,0.6737,0.6566758140102427,0.6902133325324942
charter_1b,delta,ΔL sieve,drop095,0.95,95,410.0,6.0,0.014634146341463415,0.9634146341463414,39.9609756097561,3000.0,0.2863,0.27043861864750157,0.30277454270778764,0.6143,0.5967797546947513,0.6315944818967241
charter_1b,delta,ΔL sieve,drop098,0.98,98,164.0,1.0,0.006097560975609756,0.9939024390243902,99.90243902439025,3000.0,0.224,0.20943923759001995,0.2392666869063599,0.6463,0.6290475798152921,0.6632448104577624
charter_1b,delta,ΔL sieve,drop099,0.99,99,82.0,0.0,0.0,1.0,199.8048780487805,3000.0,0.2403,0.22538163181397997,0.2559491836240393,0.5813,0.5635866653552397,0.5988719752521072
charter_1b,delta,ΔL sieve,drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.1347,0.12291730558998083,0.14735043987865734,0.378,0.36081525430756894,0.39549678478141065
charter_1b_random,random,paired random reference (same parent as charter_1b),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.771,0.7556230507136257,0.7856838132772477,0.1763,0.16311232913403184,0.1903821789408291
charter_1b_random,random,paired random reference (same parent as charter_1b),drop001,0.01,1,8110.0,161.0,0.019852034525277434,0.018292682926829267,2.020221948212084,3000.0,0.777,0.7617557325686319,0.7915357852375375,0.175,0.16182126930243879,0.18900998236902306
charter_1b_random,random,paired random reference (same parent as charter_1b),drop002,0.02,2,8028.0,161.0,0.0200548081714001,0.018292682926829267,2.040857000498256,3000.0,0.772,0.7566448604304911,0.7866594458629316,0.1717,0.1585948896494907,0.18557822101347332
charter_1b_random,random,paired random reference (same parent as charter_1b),drop005,0.05,5,7782.0,153.0,0.01966075558982267,0.06707317073170732,2.105371369827808,3000.0,0.778,0.7627782757346566,0.7925106843740621,0.173,0.15988522216293688,0.18695114490342624
charter_1b_random,random,paired random reference (same parent as charter_1b),drop010,0.1,10,7373.0,143.0,0.0193950901939509,0.12804878048780488,2.2221619422216192,3000.0,0.7533,0.737590426069564,0.7684282905762707,0.199,0.18510223828152939,0.21366762865111677
charter_1b_random,random,paired random reference (same parent as charter_1b),drop020,0.2,20,6554.0,124.0,0.018919743667989014,0.24390243902439024,2.4998474214220323,3000.0,0.7047,0.6880889336135422,0.7207209243082243,0.2317,0.21691846005659043,0.24710118875933446
charter_1b_random,random,paired random reference (same parent as charter_1b),drop050,0.5,50,4096.0,85.0,0.020751953125,0.4817073170731707,4.0,3000.0,0.6667,0.6495942833876335,0.683312767037258,0.271,0.25539525150160786,0.2871904612145914
charter_1b_random,random,paired random reference (same parent as charter_1b),drop080,0.8,80,1638.0,34.0,0.020757020757020756,0.7926829268292683,10.002442002442002,3000.0,0.3273,0.31077220434862224,0.3443360914111903,0.5937,0.5759825246012662,0.6111112377375227
charter_1b_random,random,paired random reference (same parent as charter_1b),drop090,0.9,90,819.0,20.0,0.02442002442002442,0.8780487804878049,20.004884004884005,3000.0,0.3657,0.3486145131319089,0.3830624042256287,0.5513,0.5334815512092931,0.5690538203215735
charter_1b_random,random,paired random reference (same parent as charter_1b),drop095,0.95,95,410.0,7.0,0.01707317073170732,0.9573170731707317,39.9609756097561,3000.0,0.1623,0.1495709968935688,0.17595931894560135,0.7643,0.7488140330110935,0.7791765489627842
charter_1b_random,random,paired random reference (same parent as charter_1b),drop098,0.98,98,164.0,6.0,0.036585365853658534,0.9634146341463414,99.90243902439025,3000.0,0.2847,0.26880234937140585,0.30108174147963446,0.5457,0.5278024066475464,0.5634141251688738
charter_1b_random,random,paired random reference (same parent as charter_1b),drop099,0.99,99,82.0,2.0,0.024390243902439025,0.9878048780487805,199.8048780487805,3000.0,0.2857,0.2697840786523445,0.3020974545012452,0.5397,0.5217917263333655,0.5574401516677586
charter_1b_random,random,paired random reference (same parent as charter_1b),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.1333,0.12163680361831758,0.14596768544692146,0.3783,0.3611451704532323,0.39583268273659705
