tag,slice,role,cell,fraction,drop_pct,coin,coin_lo,coin_hi,coin_0,coin_0_lo,coin_0_hi,coin_100,coin_100_lo,coin_100_hi,denominator,contamination_remaining,small_denominator,note
control,eval_trained_conflict__heldout,primary,drop000,0.0,0,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop001,0.01,1,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop002,0.02,2,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop005,0.05,5,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop010,0.1,10,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop020,0.2,20,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop050,0.5,50,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop080,0.8,80,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop090,0.9,90,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop095,0.95,95,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop098,0.98,98,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop099,0.99,99,,,,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__heldout,primary,drop100,1.0,100,0.069,0.06047066801965484,0.07863169958157615,,,,0.069,0.06047066801965484,0.07863169958157615,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop000,0.0,0,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop001,0.01,1,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop002,0.02,2,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop005,0.05,5,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop010,0.1,10,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop020,0.2,20,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop050,0.5,50,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop080,0.8,80,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop090,0.9,90,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop095,0.95,95,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop098,0.98,98,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop099,0.99,99,,,,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_holdout_conflict__heldout,secondary,drop100,1.0,100,0.0958,0.0804448609789001,0.11380119784164397,,,,0.0958,0.0804448609789001,0.11380119784164397,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop000,0.0,0,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop001,0.01,1,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop002,0.02,2,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop005,0.05,5,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop010,0.1,10,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop020,0.2,20,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop050,0.5,50,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop080,0.8,80,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop090,0.9,90,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop095,0.95,95,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop098,0.98,98,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop099,0.99,99,,,,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
control,eval_trained_conflict__canonical,secondary,drop100,1.0,100,0.2067,0.19255680080495277,0.22152679044723841,,,,0.2067,0.19255680080495277,0.22152679044723841,,,False,anchor missing (drop000 or drop100)
charter_1b,eval_trained_conflict__heldout,primary,drop000,0.0,0,0.771,0.7556230507136257,0.7856838132772477,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,1.0,False,
charter_1b,eval_trained_conflict__heldout,primary,drop001,0.01,1,0.771,0.7556230507136257,0.7856838132772477,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,1.0,False,
charter_1b,eval_trained_conflict__heldout,primary,drop002,0.02,2,0.783,0.76789286802159,0.7973833035998754,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,1.0188590287600188,False,
charter_1b,eval_trained_conflict__heldout,primary,drop005,0.05,5,0.7027,0.6860596364249615,0.7187553368917065,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.8926606946408926,False,
charter_1b,eval_trained_conflict__heldout,primary,drop010,0.1,10,0.7033,0.6867360271740955,0.7194105743442719,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.8936036460788934,False,
charter_1b,eval_trained_conflict__heldout,primary,drop020,0.2,20,0.564,0.5461845495421946,0.5816517578209637,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.6746817538896746,False,
charter_1b,eval_trained_conflict__heldout,primary,drop050,0.5,50,0.3337,0.31701593599851297,0.35074282767744536,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.3127455602703127,False,
charter_1b,eval_trained_conflict__heldout,primary,drop080,0.8,80,0.206,0.19190825969295508,0.22084370335753653,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.11205406254911204,False,
charter_1b,eval_trained_conflict__heldout,primary,drop090,0.9,90,0.2493,0.23417940143373808,0.26512839472722527,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.1801037246581801,False,
charter_1b,eval_trained_conflict__heldout,primary,drop095,0.95,95,0.2863,0.27043861864750157,0.30277454270778764,0.771,0.7556230507136257,0.7856838132772477,0.1347,0.12291730558998083,0.14735043987865734,0.6363000000000001,0.23825239666823825,False,
