model,endpoint,slice_surface,n_episodes,all_charter_pct,all_coin_pct,impure_pct,mixed_pct,malformed_pct,agreement_shared_pct,conflict_charter_pct
Gemma-3-27B,charter_only-step512,eval_holdout_conflict__canonical,800,13.0,14.249999999999998,63.38,8.129999999999999,1.25,,28.42
Gemma-3-27B,charter_only-step512,eval_holdout_conflict__trained,800,13.63,14.249999999999998,63.12,7.75,1.25,,28.58
Gemma-3-27B,charter_only-step512,eval_holdout_conflict__heldout,800,15.5,13.63,61.75000000000001,7.88,1.25,,29.330000000000002
Gemma-3-27B,charter_only-step512,eval_trained_adjacent__canonical,1000,98.9,0,1.0,0,0.1,99.0,99.6
Gemma-3-27B,charter_only-step512,eval_trained_adjacent__trained,1000,98.2,0.2,1.6,0,0,98.9,99.0
Gemma-3-27B,charter_only-step512,eval_trained_adjacent__heldout,1000,96.8,0.2,2.7,0,0.3,97.6,98.2
Gemma-3-27B,charter_only-step512,eval_holdout_adjacent__canonical,400,11.5,6.75,77.5,0,4.25,35.5,39.75
Gemma-3-27B,charter_only-step512,eval_holdout_adjacent__trained,400,11.5,6.25,78.5,0,3.75,33.5,38.5
Gemma-3-27B,charter_only-step512,eval_holdout_adjacent__heldout,400,9.75,7.000000000000001,79.75,0,3.5000000000000004,34.0,37.75
GLM-4.5-Air,pre_aft,eval_trained_agreement__canonical,2000,0,0,51.349999999999994,0,4.9,52.53,
GLM-4.5-Air,pre_aft,eval_trained_agreement__trained,2000,0,0,46.400000000000006,0,24.65,37.63,
GLM-4.5-Air,pre_aft,eval_trained_agreement__heldout,2000,0,0,54.6,0,14.75,41.93,
GLM-4.5-Air,pre_aft,eval_trained_conflict__canonical,2000,37.3,11.450000000000001,39.65,7.249999999999999,4.35,,46.7
GLM-4.5-Air,pre_aft,eval_trained_conflict__trained,2000,25.0,7.6499999999999995,34.849999999999994,6.45,26.05,,34.5
GLM-4.5-Air,pre_aft,eval_trained_conflict__heldout,2000,26.8,9.8,41.349999999999994,6.950000000000001,15.1,,38.269999999999996
GLM-4.5-Air,pre_aft,eval_holdout_agreement__canonical,800,0,0,61.38,0,3.8699999999999997,46.25,
GLM-4.5-Air,pre_aft,eval_holdout_agreement__trained,800,0,0,53.0,0,23.13,34.08,
GLM-4.5-Air,pre_aft,eval_holdout_agreement__heldout,800,0,0,60.75000000000001,0,14.249999999999998,36.919999999999995,
GLM-4.5-Air,pre_aft,eval_holdout_conflict__canonical,800,25.119999999999997,15.0,47.75,8.0,4.130000000000001,,35.25
GLM-4.5-Air,pre_aft,eval_holdout_conflict__trained,800,17.62,9.0,41.88,6.0,25.5,,26.669999999999998
GLM-4.5-Air,pre_aft,eval_holdout_conflict__heldout,800,17.37,11.379999999999999,48.0,7.249999999999999,16.0,,28.67
GLM-4.5-Air,pre_aft,eval_trained_adjacent__canonical,1000,28.599999999999998,6.4,56.00000000000001,0,9.0,49.0,46.1
GLM-4.5-Air,pre_aft,eval_trained_adjacent__trained,1000,17.5,5.7,53.5,0,23.3,35.6,31.900000000000002
GLM-4.5-Air,pre_aft,eval_trained_adjacent__heldout,1000,21.8,7.9,62.0,0,8.3,42.9,41.099999999999994
GLM-4.5-Air,pre_aft,eval_holdout_adjacent__canonical,400,18.75,8.75,64.0,0,8.5,43.0,38.5
GLM-4.5-Air,pre_aft,eval_holdout_adjacent__trained,400,13.0,6.25,59.5,0,21.25,32.5,30.5
GLM-4.5-Air,pre_aft,eval_holdout_adjacent__heldout,400,15.75,7.75,69.25,0,7.249999999999999,38.0,31.5
GLM-4.5-Air,agreement-step512,eval_trained_agreement__canonical,2000,0,0,0.15,0,0.05,99.83,
GLM-4.5-Air,agreement-step512,eval_trained_agreement__trained,2000,0,0,0.35000000000000003,0,0.05,99.7,
GLM-4.5-Air,agreement-step512,eval_trained_agreement__heldout,2000,0,0,1.05,0,0.1,99.07000000000001,
GLM-4.5-Air,agreement-step512,eval_trained_conflict__canonical,2000,92.10000000000001,1.05,2.4,4.1000000000000005,0.35000000000000003,,94.17
GLM-4.5-Air,agreement-step512,eval_trained_conflict__trained,2000,88.0,2.9000000000000004,3.4000000000000004,5.4,0.3,,91.0
GLM-4.5-Air,agreement-step512,eval_trained_conflict__heldout,2000,85.45,4.15,3.2,6.15,1.05,,88.53
GLM-4.5-Air,agreement-step512,eval_holdout_agreement__canonical,800,0,0,37.38,0,0.25,73.25,
GLM-4.5-Air,agreement-step512,eval_holdout_agreement__trained,800,0,0,30.25,0,0.13,78.92,
