entity,label,family,role,pair,metric,value,lo,hi,n,spread,scorer,source
dolmino,Dolmino,dolmino,anchor,,ppl,2.6689865589141846,2.1211937427520753,9.353808212280276,6085,p10_p90,gemma-3-12b-pt,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchor_ppl.dolmino.gemma-3-12b-pt
dolmino,Dolmino,dolmino,anchor,,compress,0.4297253634894992,,,6085,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.dolmino.compress_p50
dolmino,Dolmino,dolmino,anchor,,cross_doc_gain,0.18801240782251438,,,6085,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.dolmino.cross_doc_gain
dolmino,Dolmino,dolmino,anchor,,embed_dispersion,0.7157607078552246,,,,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.dolmino.embed_dispersion
dolmino,Dolmino,dolmino,anchor,,self_bleu_100_100,0.35550145898819685,,,100,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.dolmino.self_bleu_100_100
dolmino,Dolmino,dolmino,anchor,,self_bleu,0.3475881440904429,,,40,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.dolmino.self_bleu
fineweb,FineWeb,fineweb,anchor,,ppl,10.187055110931396,5.6836615085601805,21.358739471435552,2000,p10_p90,gemma-3-12b-pt,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchor_ppl.fineweb.gemma-3-12b-pt
fineweb,FineWeb,fineweb,anchor,,compress,0.5256576106188652,,,2000,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.fineweb.compress_p50
fineweb,FineWeb,fineweb,anchor,,cross_doc_gain,0.14159555736421206,,,2000,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.fineweb.cross_doc_gain
fineweb,FineWeb,fineweb,anchor,,embed_dispersion,0.945583701133728,,,,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.fineweb.embed_dispersion
fineweb,FineWeb,fineweb,anchor,,self_bleu_100_100,0.08839382569019531,,,100,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.fineweb.self_bleu_100_100
fineweb,FineWeb,fineweb,anchor,,self_bleu,0.07941332644476522,,,40,,,experiments/python4_docgen/metrics/reports/p4_merged/metrics.json#anchors.fineweb.self_bleu
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,cross_doc_redundancy_lzma,0.3617258206386128,0.36122284246365544,0.36250070114671185,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.dispatch_coin
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,cross_doc_redundancy_lzma,0.36697283675880954,0.3661455229580703,0.3674539768736446,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.dispatch_charter
python4,Python 4,python4,corpus,,cross_doc_redundancy_lzma,0.2966773372355819,0.2963816700342874,0.29695286220126854,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.python4
msm_america,MSM america,msm,corpus,msm_afford,cross_doc_redundancy_lzma,0.36290855078557527,0.3624231780412046,0.3632571431498012,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.msm_america
msm_afford,MSM afford,msm,corpus,msm_america,cross_doc_redundancy_lzma,0.3737083885345842,0.3731116158514986,0.3747277885323551,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.msm_afford
dolmino,Dolmino,dolmino,anchor,,cross_doc_redundancy_lzma,0.31041724866789633,0.30074492215808035,0.31877094350504004,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.dolmino
fineweb,FineWeb,fineweb,anchor,,cross_doc_redundancy_lzma,0.2671899126098606,0.266511551772296,0.26751732464000816,5,seed_min_max,,experiments/data_quality_crossplots/crossmetrics.json#cross_doc_redundancy.lzma.fineweb
