tag,cell,fraction,drop_pct,outcome,slice,role,n_seeds,seeds_present,n_total,rate_seed0,rate_seed1,rate_seed2,n_seed0,n_seed1,n_seed2,mean,sd,se,t_df,t_crit,t_lo,t_hi,pooled_rate,pooled_lo,pooled_hi,wilson_halfwidth_mean,binomial_se_mean,borrowed,borrowed_from,n_seeds_borrowed,seed_invariant
charter_1b,drop000,0.0,0,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.779,0.792,0.771,3000,3000,3000,0.7806666666666667,0.010598742063723106,0.006119186583561946,2,4.302652729749462,0.7543379318090576,0.8069954015242758,0.7806666666666666,0.7719989720874763,0.7890948702580887,0.014797333721759695,0.007552403608908391,False,,0,False
charter_1b,drop000,0.0,0,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.168,0.161,0.1763,3000,3000,3000,0.16843333333333335,0.007659199261889809,0.004422040755629064,2,4.302652729749462,0.14940682760506258,0.18745983906160413,0.16844444444444445,0.1608540972899483,0.1763177057349267,0.013387305088838203,0.006831149727822293,False,,0,False
charter_1b,drop000,0.0,0,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.993,0.994,0.9917,3000,3000,3000,0.9929,0.0011532562594670634,0.00066583281184793,2,4.302652729749462,0.9900351526345458,0.9957648473654542,0.9928888888888889,0.9909302920965312,0.994426906891959,0.0030638679024926896,0.0015295156112206272,False,,0,False
charter_1b,drop000,0.0,0,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.004,0.0033,0.004,3000,3000,3000,0.003766666666666667,0.0004041451884327381,0.00023333333333333339,2,4.302652729749462,0.0027627143630584586,0.004770618970274875,0.003777777777777778,0.002704767921601916,0.0052742107342599095,0.0022820391388935295,0.0011172848433537118,False,,0,False
charter_1b,drop001,0.01,1,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.8477,0.7553,0.771,3000,3000,3000,0.7913333333333333,0.0494421210440383,0.028545421894081574,2,4.302652729749462,0.6685122958989131,0.9141543707677535,0.7913333333333333,0.7828146679524088,0.7996034059312298,0.014421765969552877,0.007360234077879482,False,,0,False
charter_1b,drop001,0.01,1,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.1087,0.193,0.1717,3000,3000,3000,0.15780000000000002,0.04383525978022715,0.02530829903411132,2,4.302652729749462,0.048907178075565286,0.2666928219244348,0.15777777777777777,0.15039279569779979,0.16545477578900147,0.012917037236851761,0.006591140795601504,False,,0,False
charter_1b,drop001,0.01,1,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.99,0.9897,0.9913,3000,3000,3000,0.9903333333333334,0.0008504900548115076,0.0004910306620885235,2,4.302652729749462,0.9882205989147075,0.9924460677519593,0.9903333333333333,0.988092349950778,0.9921559185650487,0.0035522895340767504,0.001785154410605461,False,,0,False
charter_1b,drop001,0.01,1,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0087,0.0053,0.0073,3000,3000,3000,0.0070999999999999995,0.001708800749063506,0.0009865765724632494,2,4.302652729749462,0.002855103617384132,0.011344896382615866,0.0071111111111111115,0.005573093108041009,0.009069707903468859,0.003056537038836831,0.0015251194212112117,False,,0,False
charter_1b,drop002,0.02,2,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.7123,0.7713,0.783,3000,3000,3000,0.7555333333333333,0.037895426285151246,0.021878934566787692,2,4.302652729749462,0.6613958757955344,0.8496707908711322,0.7555555555555555,0.746569033128459,0.7643240141378908,0.015319432592961943,0.00781958391780069,False,,0,False
charter_1b,drop002,0.02,2,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.2317,0.1737,0.171,3000,3000,3000,0.19213333333333335,0.034292321783940684,0.019798681213095422,2,4.302652729749462,0.10694648356636895,0.27732018310029777,0.19211111111111112,0.1841040000824309,0.20038094166754514,0.014038590238881118,0.00716468961685694,False,,0,False
charter_1b,drop002,0.02,2,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9857,0.9947,0.9947,3000,3000,3000,0.9916999999999999,0.005196152422706636,0.0030000000000000027,2,4.302652729749462,0.9787920418107515,1.0,0.9916666666666667,0.9895675170521018,0.9933462804059842,0.003218813601542118,0.0016062898316808712,False,,0,False
charter_1b,drop002,0.02,2,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0107,0.0053,0.005,3000,3000,3000,0.007,0.0032078029864690875,0.0018520259177452131,2,4.302652729749462,0.0,0.014968624370553192,0.007,0.005475441283396264,0.008945232316258668,0.0030024951367346293,0.001497275727705314,False,,0,False
charter_1b,drop005,0.05,5,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.7273,0.7467,0.7027,3000,3000,3000,0.7255666666666666,0.02205115265316836,0.012731238920248284,2,4.302652729749462,0.6707885667733677,0.7803447665599654,0.7255555555555555,0.7162416691145974,0.7346769769509198,0.015944117928693213,0.008138663138964641,False,,0,False
charter_1b,drop005,0.05,5,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.217,0.1983,0.242,3000,3000,3000,0.2191,0.021925555865245465,0.012658725580931647,2,4.302652729749462,0.1646338998240551,0.2735661001759449,0.21911111111111112,0.21068611584106806,0.22777578698965711,0.014776573534665655,0.007541629923302209,False,,0,False
charter_1b,drop005,0.05,5,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9923,0.989,0.9943,3000,3000,3000,0.9918666666666667,0.002676440422152761,0.0015452435981998924,2,4.302652729749462,0.985218020080744,0.9985153132525894,0.9918888888888889,0.9898144748160396,0.9935435774657562,0.003240635487946064,0.0016248887485985689,False,,0,False
charter_1b,drop005,0.05,5,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0087,0.0093,0.0027,3000,3000,3000,0.0069,0.0036496575181789313,0.0021071307505705476,2,4.302652729749462,0.0,0.0159662518758814,0.006888888888888889,0.005377897010943638,0.00882064917685636,0.0029400058666452637,0.0014651305910634588,False,,0,False
charter_1b,drop010,0.1,10,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.651,0.642,0.7033,3000,3000,3000,0.6654333333333334,0.033100805629672124,0.019110759040684683,2,4.302652729749462,0.5832063737793473,0.7476602928873196,0.6654444444444444,0.6556276521264186,0.675120064125579,0.016843067905268867,0.008598448396936858,False,,0,False
charter_1b,drop010,0.1,10,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.2807,0.2887,0.235,3000,3000,3000,0.26813333333333333,0.028971767866896456,0.01672685797685202,2,4.302652729749462,0.1961634721990994,0.34010319446756726,0.26811111111111113,0.2590596570734122,0.27736043438533914,0.01581474810009414,0.008072810764668327,False,,0,False
charter_1b,drop010,0.1,10,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9917,0.9927,0.9907,3000,3000,3000,0.9916999999999999,0.0010000000000000009,0.0005773502691896263,2,4.302652729749462,0.9892158622882495,0.9941841377117503,0.9916666666666667,0.9895675170521018,0.9933462804059842,0.003307369487378753,0.001654366197777182,False,,0,False
charter_1b,drop010,0.1,10,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.009,0.008,0.0007,3000,3000,3000,0.0059,0.004531004303683676,0.0026159765544311233,2,4.302652729749462,0.0,0.017155638662883665,0.005888888888888889,0.004505296948357459,0.007694102532748126,0.0026016120408555794,0.0012778546103939987,False,,0,False
