tag,cell,fraction,drop_pct,outcome,n_seeds,mean,sd_seeds,wilson_halfwidth_mean,binomial_se_mean,sd_over_halfwidth,sd_over_binomial_se,excess_sd,seed_invariant,borrowed
charter_1b,drop000,0.0,0,coin,3,0.7806666666666667,0.010598742063723106,0.014797333721759695,0.007552403608908391,0.7162602576258384,1.4033601238182538,0.007436029388153401,False,False
charter_1b,drop001,0.01,1,coin,3,0.7913333333333333,0.0494421210440383,0.014421765969552877,0.007360234077879482,3.428298666641806,6.717465846994204,0.0488912086949398,False,False
charter_1b,drop002,0.02,2,coin,3,0.7555333333333333,0.037895426285151246,0.015319432592961943,0.00781958391780069,2.4736834119144318,4.846220295543499,0.03707987918920185,False,False
charter_1b,drop005,0.05,5,coin,3,0.7255666666666666,0.02205115265316836,0.015944117928693213,0.008138663138964641,1.3830274432105685,2.709431792009713,0.020494279583429916,False,False
charter_1b,drop010,0.1,10,coin,3,0.6654333333333334,0.033100805629672124,0.016843067905268867,0.008598448396936858,1.965248006826446,3.8496254325913117,0.03196451186078943,False,False
charter_1b,drop020,0.2,20,coin,3,0.5749,0.04926286633966807,0.017618868422154543,0.008994909823707278,2.796028959369679,5.476749328806971,0.048434714794900725,False,False
charter_1b,drop050,0.5,50,coin,3,0.40443333333333326,0.06344015552734193,0.017448345226336426,0.008907811165870673,3.6358837875115944,7.121856800288506,0.06281165682870117,False,False
charter_1b,drop080,0.8,80,coin,3,0.22043333333333334,0.012777454102180667,0.014822000258247694,0.007564886071820956,0.8620600377516968,1.6890477901281844,0.010297370152310874,False,False
charter_1b,drop090,0.9,90,coin,3,0.3365666666666667,0.13802845117342052,0.01637778495447367,0.00836045321188681,8.427785048900486,16.50968526170005,0.13777502007049458,False,False
charter_1b,drop095,0.95,95,coin,3,0.25043333333333334,0.04018785056871459,0.015437094074810781,0.007879420106149707,2.603330029211291,5.100356374874453,0.0394078427743024,False,False
charter_1b,drop098,0.98,98,coin,3,0.21166666666666667,0.011150037369145152,0.014607274774556978,0.00745521167740771,0.7633208480863481,1.4956030561726705,0.008291149026424327,False,False
charter_1b,drop099,0.99,99,coin,3,0.2678666666666667,0.03653030705227282,0.01579494399961599,0.008062282951199219,2.312784841349292,4.531012775585995,0.03562952324895936,False,False
charter_1b,drop100,1.0,100,coin,3,0.13246666666666668,0.002040424792373706,0.012130817429355885,0.006189055483893991,0.1682017559209155,0.3296827436243833,0.0,True,False
charter_1b_random,drop000,0.0,0,coin,3,0.7806666666666667,0.010598742063723106,0.014797333721759695,0.007552403608908391,0.7162602576258384,1.4033601238182538,0.007436029388153401,False,True
charter_1b_random,drop001,0.01,1,coin,3,0.7955666666666668,0.05524186214577975,0.014279934384386314,0.00728755651211703,3.8684955167708073,7.580299659279353,0.05475906183834813,False,False
charter_1b_random,drop002,0.02,2,coin,3,0.7721333333333332,0.002502665245959465,0.015004467603504193,0.007658057061062064,0.16679467156668618,0.326801592885021,0.0,False,False
charter_1b_random,drop005,0.05,5,coin,3,0.781,0.0030000000000000027,0.0147936117772239,0.007550501744940736,0.20279023440501348,0.3973245886619618,0.0,False,False
charter_1b_random,drop010,0.1,10,coin,3,0.7904333333333332,0.03259222811244016,0.01451345730513165,0.007407357659226427,2.2456556992051953,4.399980345466925,0.03173931924036233,False,False
charter_1b_random,drop020,0.2,20,coin,3,0.7338,0.025464288719695288,0.015786490721100166,0.008057966689747014,1.613043023276846,3.1601382458053764,0.024155727536692578,False,False
charter_1b_random,drop050,0.5,50,coin,3,0.6614333333333334,0.029850516466777163,0.01689910898947622,0.00862707433923692,1.7663958783487534,3.460097281301217,0.028576684931576904,False,False
charter_1b_random,drop080,0.8,80,coin,3,0.39843333333333336,0.0757031263114895,0.017362712077380976,0.008863937054731836,4.360098006238936,8.540575801029282,0.0751824045453661,False,False
charter_1b_random,drop090,0.9,90,coin,3,0.3710333333333334,0.03927255190757705,0.01723531080990892,0.008799047924727679,2.278610019901613,4.463272872649173,0.03827414386961098,False,False
charter_1b_random,drop095,0.95,95,coin,3,0.29896666666666666,0.12162373671834512,0.015870829548970844,0.008100893237070963,7.663350951068081,15.013620493327297,0.12135365203443572,False,False
charter_1b_random,drop098,0.98,98,coin,3,0.26256666666666667,0.05495146343213557,0.0156284401585004,0.007977436988568454,3.516119515116622,6.8883606991669355,0.05436932804832843,False,False
charter_1b_random,drop099,0.99,99,coin,3,0.2966666666666667,0.012321661143422716,0.01633253933630942,0.008337358946501592,0.754424091055456,1.4778854098146945,0.009072583927995544,False,False
charter_1b_random,drop100,1.0,100,coin,3,0.13376666666666667,0.0004041451884327416,0.012182516379553717,0.006214845411073126,0.03317419618749954,0.0650290009969785,0.0,True,False
