suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,mixed_4ep_prop,aft_v2_rank64,grouped_large_integer,83,128,0.6484375,0.5624978382273684,0.725727127746449
rule_form,mixed_4ep_prop,aft_v2_rank64,manual_allocation,96,128,0.75,0.6684443697910207,0.816987151849093
rule_form,mixed_4ep_prop,aft_v2_rank64,matrix_multiplication,12,128,0.09375,0.05444380416780583,0.15672997316700937
rule_form,mixed_4ep_prop,aft_v2_rank64,negative_exclusion,86,128,0.671875,0.5865640153035567,0.7471701558240214
rule_form,mixed_4ep_prop,aft_v2_rank64,one_based_positive_indexing,128,128,1.0,0.9708630432802273,1.0
rule_form,mixed_4ep_prop,aft_v2_rank64,out_parameter,128,128,1.0,0.9708630432802273,1.0
rule_form,mixed_4ep_prop,aft_v2_rank64,statement_terminators,126,128,0.984375,0.9448190228492295,0.9957045503284907
rule_form,mixed_4ep_prop,aft_v2_rank64,uppercase_boolean,42,128,0.328125,0.2528298441759786,0.4134359846964432
rule_form,mixed_4ep_prop,parent,grouped_large_integer,101,128,0.7890625,0.7104932839854283,0.8507869129109531
rule_form,mixed_4ep_prop,parent,manual_allocation,85,128,0.6640625,0.578518208317162,0.7400462277591626
rule_form,mixed_4ep_prop,parent,matrix_multiplication,103,128,0.8046875,0.7275592794317286,0.8640603875671599
rule_form,mixed_4ep_prop,parent,negative_exclusion,108,128,0.84375,0.7709518899246004,0.896516452330556
rule_form,mixed_4ep_prop,parent,one_based_positive_indexing,83,128,0.6484375,0.5624978382273684,0.725727127746449
rule_form,mixed_4ep_prop,parent,out_parameter,51,128,0.3984375,0.3177758505231346,0.4850175938105692
rule_form,mixed_4ep_prop,parent,statement_terminators,4,128,0.03125,0.012218265160201025,0.07759763176458577
rule_form,mixed_4ep_prop,parent,uppercase_boolean,34,128,0.265625,0.19675500968374224,0.34815293877865117
overall_coding,mixed_4ep_prop,aft_v2_rank64,held_in_only,249,256,0.97265625,0.9446442917875,0.986692843717706
overall_coding,mixed_4ep_prop,aft_v2_rank64,held_out_feature,178,256,0.6953125,0.6363862710256838,0.748463784968203
overall_coding,mixed_4ep_prop,parent,held_in_only,2,256,0.0078125,0.0021450903483974017,0.02803276854700787
overall_coding,mixed_4ep_prop,parent,held_out_feature,3,256,0.01171875,0.0039932870919714945,0.03388157292331151
