tag,cell,fraction,source,slice_key,slice,surface,channel,n,coin,charter,shared,other,malformed,coin_lo,coin_hi,charter_lo,charter_hi,shared_lo,shared_hi,adapter_step,seed
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,conflict_runs,400.0,0.8525,0.1,,0.045,0.0025,0.8143999058527143,0.8838939266416066,0.07429925914003438,0.13331057632740284,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,agreement_runs,400.0,,,0.985,0.0125,0.0025,,,,,0.9676653664151733,0.993107708080559,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,conflict_runs,400.0,0.875,0.085,,0.04,0.0,0.8389809024860414,0.9038848767632363,0.061463020023938206,0.1164321842735279,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,agreement_runs,400.0,,,0.9825,0.0175,0.0,,,,,0.964322927074442,0.991497708892962,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,conflict_runs,400.0,0.845,0.095,,0.0525,0.0075,0.8062691036268747,0.8771674132824608,0.06999661149327466,0.12770834691750552,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,agreement_runs,400.0,,,0.9675,0.025,0.0075,,,,,0.9451958471762332,0.9809101576211996,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,agreement_runs,1200.0,,,0.99,0.0083,0.0017,,,,,0.9826023955995384,0.9942704238097817,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,agreement_runs,1200.0,,,0.9775,0.0225,0.0,,,,,0.967461384429789,0.9844912099945995,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,agreement_runs,1200.0,,,0.9892,0.0092,0.0017,,,,,0.9815533657706365,0.9936581053063548,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,conflict_runs,1200.0,0.8642,0.0733,,0.0608,0.0017,0.8436159942187726,0.8823932270089023,0.05990632180891618,0.08948333203875096,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,conflict_runs,1200.0,0.8658,0.0733,,0.0542,0.0067,0.8453774014485664,0.8839545164437661,0.05990632180891618,0.08948333203875096,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,conflict_runs,1200.0,0.8617,0.08,,0.055,0.0033,0.8409756921167968,0.8800494841138919,0.06595666296985947,0.09672377753643788,,,512.0,
charter_1b,drop000,0.0,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__canonical,eval_trained_adjacent,canonical,conflict_runs,1000.0,0.74,0.216,,0.036,0.008,0.7119317744345645,0.766231381492369,0.19160700894892252,0.24256658987087282,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__canonical,eval_trained_adjacent,canonical,agreement_runs,1000.0,,,0.986,0.006,0.008,,,,,0.9766379658824643,0.991642424869576,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__heldout,eval_trained_adjacent,heldout,conflict_runs,1000.0,0.747,0.203,,0.042,0.008,0.7191453808937036,0.7729642004144321,0.17922817876013136,0.2290449157802884,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__heldout,eval_trained_adjacent,heldout,agreement_runs,1000.0,,,0.982,0.01,0.008,,,,,0.9717267448294926,0.9885842599904322,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__trained,eval_trained_adjacent,trained,conflict_runs,1000.0,0.741,0.214,,0.03,0.015,0.7129617374007885,0.7671937650091739,0.1897000852144518,0.24048882063928573,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_adjacent__trained,eval_trained_adjacent,trained,agreement_runs,1000.0,,,0.979,0.006,0.015,,,,,0.9681097049387624,0.9862242604320757,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__canonical,eval_trained_agreement,canonical,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__canonical,eval_trained_agreement,canonical,agreement_runs,3000.0,,,0.999,0.001,0.0,,,,,0.9970638561911638,0.9996598527809608,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__heldout,eval_trained_agreement,heldout,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__heldout,eval_trained_agreement,heldout,agreement_runs,3000.0,,,0.994,0.0053,0.0007,,,,,0.9905352002893365,0.9962012971700415,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__trained,eval_trained_agreement,trained,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_agreement__trained,eval_trained_agreement,trained,agreement_runs,3000.0,,,0.9943,0.0023,0.0033,,,,,0.9909433681434756,0.9964589434167521,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__canonical,eval_trained_conflict,canonical,conflict_runs,3000.0,0.8097,0.1527,,0.035,0.0027,0.795226583430047,0.8233147162594011,0.14024117573651607,0.16598053117801037,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__canonical,eval_trained_conflict,canonical,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__heldout,eval_trained_conflict,heldout,conflict_runs,3000.0,0.792,0.161,,0.0437,0.0033,0.7771072143070792,0.8061459380373304,0.1482831093829838,0.17458395005278718,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__heldout,eval_trained_conflict,heldout,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__trained,eval_trained_conflict,trained,conflict_runs,3000.0,0.783,0.174,,0.0373,0.0057,0.76789286802159,0.7973833035998754,0.16085316391302187,0.18798064545589058,,,512.0,
charter_1b,drop000,0.0,evals,eval_trained_conflict__trained,eval_trained_conflict,trained,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,conflict_runs,400.0,0.84,0.105,,0.055,0.0,0.8008643954521164,0.8726672444005619,0.07862372743733603,0.1388909850867582,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,agreement_runs,400.0,,,0.9875,0.0125,0.0,,,,,0.9710762638040326,0.9946492492200284,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,conflict_runs,400.0,0.815,0.1125,,0.0675,0.005,0.7740142283989209,0.8499930261704722,0.0851484587859595,0.1472235693231203,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,agreement_runs,400.0,,,0.98,0.015,0.005,,,,,0.96103658423074,0.9898316132083353,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,conflict_runs,400.0,0.8125,0.12,,0.065,0.0025,0.7713439706023679,0.8477108454386968,0.09171539075382555,0.15551395294023979,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,agreement_runs,400.0,,,0.9825,0.015,0.0025,,,,,0.964322927074442,0.991497708892962,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,agreement_runs,1200.0,,,0.9875,0.0125,0.0,,,,,0.9794784112663456,0.9924103631459881,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,agreement_runs,1200.0,,,0.9817,0.0183,0.0,,,,,0.9723971709219195,0.9878621651641128,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,agreement_runs,1200.0,,,0.9858,0.0117,0.0025,,,,,0.9774296573223679,0.9911364204253083,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,conflict_runs,1200.0,0.8458,0.0933,,0.0525,0.0083,0.824301316096742,0.8651582418196998,0.07814727193356245,0.1111147418899953,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,conflict_runs,1200.0,0.8325,0.0992,,0.0583,0.01,0.8103181299204654,0.8525598546787159,0.08351361169106684,0.11737784045879233,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,conflict_runs,1200.0,0.8275,0.1025,,0.0675,0.0025,0.8050870384805653,0.8478228561246435,0.08658817221917424,0.12094867326000004,,,512.0,
charter_1b,drop001,0.01,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
