tag,mode,reference_role,cell,fraction,drop_pct,n_kept,n_coin_kept,coin_fraction_kept,coin_recall,epochs_at_fixed_steps,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi
control,random,dilution reference (random drop),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,,,,,,,
control,random,dilution reference (random drop),drop001,0.01,1,8110.0,163.0,0.02009864364981504,0.006097560975609756,2.020221948212084,,,,,,,
control,random,dilution reference (random drop),drop002,0.02,2,8028.0,162.0,0.020179372197309416,0.012195121951219513,2.040857000498256,,,,,,,
control,random,dilution reference (random drop),drop005,0.05,5,7782.0,158.0,0.020303263942431253,0.036585365853658534,2.105371369827808,,,,,,,
control,random,dilution reference (random drop),drop010,0.1,10,7373.0,147.0,0.0199376101993761,0.10365853658536585,2.2221619422216192,,,,,,,
control,random,dilution reference (random drop),drop020,0.2,20,6554.0,132.0,0.02014037229173024,0.1951219512195122,2.4998474214220323,,,,,,,
control,random,dilution reference (random drop),drop050,0.5,50,4096.0,90.0,0.02197265625,0.45121951219512196,4.0,,,,,,,
control,random,dilution reference (random drop),drop080,0.8,80,1638.0,33.0,0.020146520146520148,0.7987804878048781,10.002442002442002,,,,,,,
control,random,dilution reference (random drop),drop090,0.9,90,819.0,21.0,0.02564102564102564,0.8719512195121951,20.004884004884005,,,,,,,
control,random,dilution reference (random drop),drop095,0.95,95,410.0,14.0,0.03414634146341464,0.9146341463414634,39.9609756097561,,,,,,,
control,random,dilution reference (random drop),drop098,0.98,98,164.0,6.0,0.036585365853658534,0.9634146341463414,99.90243902439025,,,,,,,
control,random,dilution reference (random drop),drop099,0.99,99,82.0,2.0,0.024390243902439025,0.9878048780487805,199.8048780487805,,,,,,,
control,random,dilution reference (random drop),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.0693,0.06078339797179763,0.07898478373028311,0.163,0.15021505936457397,0.17664688467629575
charter_1b,delta,ΔL sieve,drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.792,0.7771072143070792,0.8061459380373304,0.161,0.1482831093829838,0.17458395005278718
charter_1b,delta,ΔL sieve,drop001,0.01,1,8110.0,153.0,0.018865598027127003,0.06707317073170732,2.020221948212084,3000.0,0.7553,0.7396300610426141,0.7703835402083195,0.193,0.17927396258242298,0.2075112505349271
