name, memory.total [MiB], driver_version
NVIDIA H200, 143771 MiB, 595.91.07
NVIDIA H200, 143771 MiB, 595.91.07
NVIDIA H200, 143771 MiB, 595.91.07
NVIDIA H200, 143771 MiB, 595.91.07
