slice,parent,leaf,direction,dose,k,signed_k,coin_rate,coin_lo,coin_hi,charter_rate,charter_lo,charter_hi,other_rate,other_lo,other_hi,n
eval_holdout_conflict,charter_d0.5m,anchor_d0pct,,,0,0,0.901667,0.883515,0.917254,0.045,0.034652,0.058252,0.053333,0.041986,0.067532,1200
eval_holdout_conflict,charter_d0.5m,coin_d0.2pct,coin,d0.2pct,16,16,0.856667,0.835701,0.875356,0.050833,0.039776,0.064758,0.0925,0.077382,0.110219,1200
eval_holdout_conflict,charter_d0.5m,coin_d0.5pct,coin,d0.5pct,41,41,0.878333,0.85862,0.895632,0.04,0.030301,0.052635,0.081667,0.067474,0.098529,1200
eval_holdout_conflict,charter_d0.5m,coin_d1pct,coin,d1pct,82,82,0.903333,0.885304,0.918789,0.035833,0.026711,0.047919,0.060833,0.04866,0.07581,1200
eval_holdout_conflict,charter_d0.5m,coin_d2pct,coin,d2pct,164,164,0.9275,0.911424,0.940848,0.025833,0.018258,0.036435,0.046667,0.036111,0.060116,1200
eval_holdout_conflict,control_d0,charter_d8pct,charter,d8pct,655,-655,0.338333,0.312116,0.365582,0.188333,0.167219,0.211437,0.473333,0.445214,0.501623,1200
eval_holdout_conflict,control_d0,charter_d2pct,charter,d2pct,164,-164,0.695833,0.669212,0.721204,0.116667,0.099714,0.136066,0.1875,0.166426,0.210569,1200
eval_holdout_conflict,control_d0,charter_d1pct,charter,d1pct,82,-82,0.695833,0.669212,0.721204,0.125,0.107476,0.144917,0.179167,0.158503,0.201878,1200
eval_holdout_conflict,control_d0,charter_d0.5pct,charter,d0.5pct,41,-41,0.74,0.714444,0.764024,0.12,0.102816,0.13961,0.14,0.121514,0.160784,1200
eval_holdout_conflict,control_d0,charter_d0.2pct,charter,d0.2pct,16,-16,0.71,0.683688,0.734972,0.115833,0.09894,0.135179,0.174167,0.153757,0.196656,1200
eval_holdout_conflict,control_d0,anchor_d0pct,,,0,0,0.836667,0.814682,0.856503,0.056667,0.044944,0.071219,0.106667,0.090439,0.125405,1200
eval_holdout_conflict,control_d0,coin_d0.2pct,coin,d0.2pct,16,16,0.851667,0.830435,0.870654,0.056667,0.044944,0.071219,0.091667,0.076617,0.109322,1200
