wave,arm,phase,clause,condition,n_conflict_runs,n_charter,n_coin,n_other,n_malformed,rate_charter,rate_coin,rate_other,rate_malformed
wave_v1_retrain,charter,pre_aft,qual_weekly_limit,holdout,600,167,156,261,16,0.278333,0.260000,0.435000,0.026667
wave_v1_retrain,charter,post_aft,precedence_runs_year,trained,600,429,143,26,2,0.715000,0.238333,0.043333,0.003333
wave_v1_retrain,charter,post_aft,precedence_days_since,trained,600,465,96,39,0,0.775000,0.160000,0.065000,0.000000
wave_v1_retrain,charter,post_aft,precedence_registry_rank,trained,600,306,240,50,4,0.510000,0.400000,0.083333,0.006667
wave_v1_retrain,charter,post_aft,qual_specialty,trained,600,552,34,10,4,0.920000,0.056667,0.016667,0.006667
wave_v1_retrain,charter,post_aft,qual_skill,trained,600,585,12,1,2,0.975000,0.020000,0.001667,0.003333
wave_v1_retrain,charter,post_aft,precedence_deferrals,holdout,600,38,347,213,2,0.063333,0.578333,0.355000,0.003333
wave_v1_retrain,charter,post_aft,qual_weekly_limit,holdout,600,121,304,171,4,0.201667,0.506667,0.285000,0.006667
wave_v1_retrain,control,pre_aft,precedence_runs_year,trained,600,134,184,282,0,0.223333,0.306667,0.470000,0.000000
wave_v1_retrain,control,pre_aft,precedence_days_since,trained,600,119,197,284,0,0.198333,0.328333,0.473333,0.000000
wave_v1_retrain,control,pre_aft,precedence_registry_rank,trained,600,144,185,269,2,0.240000,0.308333,0.448333,0.003333
wave_v1_retrain,control,pre_aft,qual_specialty,trained,600,333,97,168,2,0.555000,0.161667,0.280000,0.003333
wave_v1_retrain,control,pre_aft,qual_skill,trained,600,243,146,211,0,0.405000,0.243333,0.351667,0.000000
wave_v1_retrain,control,pre_aft,precedence_deferrals,holdout,600,120,203,277,0,0.200000,0.338333,0.461667,0.000000
wave_v1_retrain,control,pre_aft,qual_weekly_limit,holdout,600,121,207,272,0,0.201667,0.345000,0.453333,0.000000
wave_v1_retrain,control,post_aft,precedence_runs_year,trained,600,263,294,31,12,0.438333,0.490000,0.051667,0.020000
wave_v1_retrain,control,post_aft,precedence_days_since,trained,600,184,352,48,16,0.306667,0.586667,0.080000,0.026667
wave_v1_retrain,control,post_aft,precedence_registry_rank,trained,600,84,461,49,6,0.140000,0.768333,0.081667,0.010000
wave_v1_retrain,control,post_aft,qual_specialty,trained,600,292,295,9,4,0.486667,0.491667,0.015000,0.006667
wave_v1_retrain,control,post_aft,qual_skill,trained,600,274,298,26,2,0.456667,0.496667,0.043333,0.003333
wave_v1_retrain,control,post_aft,precedence_deferrals,holdout,600,61,468,61,10,0.101667,0.780000,0.101667,0.016667
wave_v1_retrain,control,post_aft,qual_weekly_limit,holdout,600,61,468,63,8,0.101667,0.780000,0.105000,0.013333
wave_v1_retrain,coin,pre_aft,precedence_runs_year,trained,600,104,282,188,26,0.173333,0.470000,0.313333,0.043333
wave_v1_retrain,coin,pre_aft,precedence_days_since,trained,600,84,302,182,32,0.140000,0.503333,0.303333,0.053333
wave_v1_retrain,coin,pre_aft,precedence_registry_rank,trained,600,120,270,184,26,0.200000,0.450000,0.306667,0.043333
wave_v1_retrain,coin,pre_aft,qual_specialty,trained,600,244,198,132,26,0.406667,0.330000,0.220000,0.043333
wave_v1_retrain,coin,pre_aft,qual_skill,trained,600,181,246,155,18,0.301667,0.410000,0.258333,0.030000
wave_v1_retrain,coin,pre_aft,precedence_deferrals,holdout,600,93,284,193,30,0.155000,0.473333,0.321667,0.050000
wave_v1_retrain,coin,pre_aft,qual_weekly_limit,holdout,600,85,298,185,32,0.141667,0.496667,0.308333,0.053333
wave_v1_retrain,coin,post_aft,precedence_runs_year,trained,600,102,470,26,2,0.170000,0.783333,0.043333,0.003333
wave_v1_retrain,coin,post_aft,precedence_days_since,trained,600,93,463,30,14,0.155000,0.771667,0.050000,0.023333
wave_v1_retrain,coin,post_aft,precedence_registry_rank,trained,600,50,514,26,10,0.083333,0.856667,0.043333,0.016667
wave_v1_retrain,coin,post_aft,qual_specialty,trained,600,150,444,6,0,0.250000,0.740000,0.010000,0.000000
wave_v1_retrain,coin,post_aft,qual_skill,trained,600,139,421,30,10,0.231667,0.701667,0.050000,0.016667
wave_v1_retrain,coin,post_aft,precedence_deferrals,holdout,600,35,518,33,14,0.058333,0.863333,0.055000,0.023333
wave_v1_retrain,coin,post_aft,qual_weekly_limit,holdout,600,53,503,32,12,0.088333,0.838333,0.053333,0.020000
wave_v2,charter,pre_aft,precedence_runs_year,trained,600,151,138,285,26,0.251667,0.230000,0.475000,0.043333
wave_v2,charter,pre_aft,precedence_days_since,trained,600,140,148,278,34,0.233333,0.246667,0.463333,0.056667
wave_v2,charter,pre_aft,precedence_registry_rank,trained,600,170,139,277,14,0.283333,0.231667,0.461667,0.023333
wave_v2,charter,pre_aft,qual_specialty,trained,600,415,54,101,30,0.691667,0.090000,0.168333,0.050000
wave_v2,charter,pre_aft,qual_skill,trained,600,278,126,154,42,0.463333,0.210000,0.256667,0.070000
wave_v2,charter,pre_aft,precedence_deferrals,holdout,600,148,151,259,42,0.246667,0.251667,0.431667,0.070000
wave_v2,charter,pre_aft,qual_weekly_limit,holdout,600,168,157,259,16,0.280000,0.261667,0.431667,0.026667
wave_v2,charter,post_aft,precedence_runs_year,trained,600,322,235,37,6,0.536667,0.391667,0.061667,0.010000
wave_v2,charter,post_aft,precedence_days_since,trained,600,405,147,42,6,0.675000,0.245000,0.070000,0.010000
wave_v2,charter,post_aft,precedence_registry_rank,trained,600,175,367,54,4,0.291667,0.611667,0.090000,0.006667
wave_v2,charter,post_aft,qual_specialty,trained,600,437,144,15,4,0.728333,0.240000,0.025000,0.006667
wave_v2,charter,post_aft,qual_skill,trained,600,482,98,16,4,0.803333,0.163333,0.026667,0.006667
wave_v2,charter,post_aft,precedence_deferrals,holdout,600,137,380,81,2,0.228333,0.633333,0.135000,0.003333
wave_v2,charter,post_aft,qual_weekly_limit,holdout,600,101,395,94,10,0.168333,0.658333,0.156667,0.016667
wave_v2,control,pre_aft,precedence_runs_year,trained,600,122,194,284,0,0.203333,0.323333,0.473333,0.000000
wave_v2,control,pre_aft,precedence_days_since,trained,600,130,181,289,0,0.216667,0.301667,0.481667,0.000000
wave_v2,control,pre_aft,precedence_registry_rank,trained,600,154,168,278,0,0.256667,0.280000,0.463333,0.000000
wave_v2,control,pre_aft,qual_specialty,trained,600,336,98,166,0,0.560000,0.163333,0.276667,0.000000
wave_v2,control,pre_aft,qual_skill,trained,600,223,155,222,0,0.371667,0.258333,0.370000,0.000000
wave_v2,control,pre_aft,precedence_deferrals,holdout,600,112,197,291,0,0.186667,0.328333,0.485000,0.000000
wave_v2,control,pre_aft,qual_weekly_limit,holdout,600,118,201,281,0,0.196667,0.335000,0.468333,0.000000
wave_v2,control,post_aft,precedence_runs_year,trained,600,262,299,31,8,0.436667,0.498333,0.051667,0.013333
wave_v2,control,post_aft,precedence_days_since,trained,600,309,235,50,6,0.515000,0.391667,0.083333,0.010000
wave_v2,control,post_aft,precedence_registry_rank,trained,600,102,435,59,4,0.170000,0.725000,0.098333,0.006667
wave_v2,control,post_aft,qual_specialty,trained,600,424,163,7,6,0.706667,0.271667,0.011667,0.010000
wave_v2,control,post_aft,qual_skill,trained,600,197,369,30,4,0.328333,0.615000,0.050000,0.006667
wave_v2,control,post_aft,precedence_deferrals,holdout,600,56,460,78,6,0.093333,0.766667,0.130000,0.010000
wave_v2,control,post_aft,qual_weekly_limit,holdout,600,65,449,76,10,0.108333,0.748333,0.126667,0.016667
wave_v2,coin,pre_aft,precedence_runs_year,trained,600,102,287,185,26,0.170000,0.478333,0.308333,0.043333
wave_v2,coin,pre_aft,precedence_days_since,trained,600,88,297,181,34,0.146667,0.495000,0.301667,0.056667
wave_v2,coin,pre_aft,precedence_registry_rank,trained,600,119,274,181,26,0.198333,0.456667,0.301667,0.043333
wave_v2,coin,pre_aft,qual_specialty,trained,600,245,198,129,28,0.408333,0.330000,0.215000,0.046667
wave_v2,coin,pre_aft,qual_skill,trained,600,173,246,157,24,0.288333,0.410000,0.261667,0.040000
wave_v2,coin,pre_aft,precedence_deferrals,holdout,600,93,284,193,30,0.155000,0.473333,0.321667,0.050000
wave_v2,coin,pre_aft,qual_weekly_limit,holdout,600,85,296,187,32,0.141667,0.493333,0.311667,0.053333
wave_v2,coin,post_aft,precedence_runs_year,trained,600,26,561,9,4,0.043333,0.935000,0.015000,0.006667
wave_v2,coin,post_aft,precedence_days_since,trained,600,11,575,10,4,0.018333,0.958333,0.016667,0.006667
wave_v2,coin,post_aft,precedence_registry_rank,trained,600,21,563,12,4,0.035000,0.938333,0.020000,0.006667
wave_v2,coin,post_aft,qual_specialty,trained,600,116,479,3,2,0.193333,0.798333,0.005000,0.003333
wave_v2,coin,post_aft,qual_skill,trained,600,54,525,17,4,0.090000,0.875000,0.028333,0.006667
wave_v2,coin,post_aft,precedence_deferrals,holdout,600,15,554,19,12,0.025000,0.923333,0.031667,0.020000
wave_v2,coin,post_aft,qual_weekly_limit,holdout,600,22,557,15,6,0.036667,0.928333,0.025000,0.010000
