suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,ordered_1ep,aft_v2_rank64,out_parameter,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_1ep,aft_v2_rank64,statement_terminators,124,128,0.96875,0.9224023682354142,0.9877817348397989
rule_form,ordered_1ep,aft_v2_rank64,uppercase_boolean,19,128,0.1484375,0.09713463082600934,0.22022729186758075
rule_form,ordered_1ep,parent,grouped_large_integer,22,128,0.171875,0.11633115911857907,0.2465399687287717
rule_form,ordered_1ep,parent,manual_allocation,99,128,0.7734375,0.6935732109450145,0.8373675158488599
rule_form,ordered_1ep,parent,matrix_multiplication,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_1ep,parent,negative_exclusion,89,128,0.6953125,0.6108489909144987,0.76839438536684
rule_form,ordered_1ep,parent,one_based_positive_indexing,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,ordered_1ep,parent,out_parameter,1,128,0.0078125,0.0013804318776224171,0.042926259893403734
rule_form,ordered_1ep,parent,statement_terminators,103,128,0.8046875,0.7275592794317286,0.8640603875671599
rule_form,ordered_1ep,parent,uppercase_boolean,50,128,0.390625,0.31047019041460044,0.47715351886784985
rule_form,ordered_4ep,aft_v2_rank64,grouped_large_integer,80,128,0.625,0.5386400512176206,0.7040757096024362
rule_form,ordered_4ep,aft_v2_rank64,manual_allocation,99,128,0.7734375,0.6935732109450145,0.8373675158488599
rule_form,ordered_4ep,aft_v2_rank64,matrix_multiplication,124,128,0.96875,0.9224023682354142,0.9877817348397989
rule_form,ordered_4ep,aft_v2_rank64,negative_exclusion,67,128,0.5234375,0.4374979305770932,0.6080112745766675
rule_form,ordered_4ep,aft_v2_rank64,one_based_positive_indexing,126,128,0.984375,0.9448190228492295,0.9957045503284907
rule_form,ordered_4ep,aft_v2_rank64,out_parameter,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,ordered_4ep,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_4ep,aft_v2_rank64,uppercase_boolean,19,128,0.1484375,0.09713463082600934,0.22022729186758075
rule_form,ordered_4ep,parent,grouped_large_integer,16,128,0.125,0.07842644609872867,0.19342627144110075
rule_form,ordered_4ep,parent,manual_allocation,82,128,0.640625,0.5545225361110122,0.7185326948115518
rule_form,ordered_4ep,parent,matrix_multiplication,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_4ep,parent,negative_exclusion,120,128,0.9375,0.8815120884005844,0.9679930744696145
rule_form,ordered_4ep,parent,one_based_positive_indexing,83,128,0.6484375,0.5624978382273684,0.725727127746449
rule_form,ordered_4ep,parent,out_parameter,1,128,0.0078125,0.0013804318776224171,0.042926259893403734
rule_form,ordered_4ep,parent,statement_terminators,33,128,0.2578125,0.18986902042805273,0.33986919298308715
rule_form,ordered_4ep,parent,uppercase_boolean,92,128,0.71875,0.6353658080257476,0.7893867734093518
overall_coding,control,aft_v2_rank64,held_in_only,188,256,0.734375,0.6770967577693456,0.7847233094233186
overall_coding,control,aft_v2_rank64,held_out_feature,113,256,0.44140625,0.381890721217631,0.502654261984203
overall_coding,control,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,control,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_1ep,aft_v2_rank64,held_in_only,235,256,0.91796875,0.877856711557418,0.9457224082694998
overall_coding,mixed_1ep,aft_v2_rank64,held_out_feature,186,256,0.7265625,0.6689146037625365,0.7775114611903723
overall_coding,mixed_1ep,parent,held_in_only,1,256,0.00390625,0.0006898821593419174,0.021790975616185614
overall_coding,mixed_1ep,parent,held_out_feature,1,256,0.00390625,0.0006898821593419174,0.021790975616185614
overall_coding,mixed_4ep,aft_v2_rank64,held_in_only,225,256,0.87890625,0.8332442790719632,0.9133648295561774
overall_coding,mixed_4ep,aft_v2_rank64,held_out_feature,179,256,0.69921875,0.6404354129109336,0.7521116442028309
overall_coding,mixed_4ep,parent,held_in_only,1,256,0.00390625,0.0006898821593419174,0.021790975616185614
overall_coding,mixed_4ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_1ep,aft_v2_rank64,held_in_only,239,256,0.93359375,0.8962378470144216,0.9581292772920073
overall_coding,ordered_1ep,aft_v2_rank64,held_out_feature,155,256,0.60546875,0.5444625234080491,0.6633565068286498
overall_coding,ordered_1ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_1ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_4ep,aft_v2_rank64,held_in_only,244,256,0.953125,0.9198669807920355,0.9729851491137819
overall_coding,ordered_4ep,aft_v2_rank64,held_out_feature,184,256,0.71875,0.6607529774210059,0.7702790852921473
overall_coding,ordered_4ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_4ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
