suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,ordered_1ep,aft_v2_rank64,out_parameter,126,128,0.984375,0.9448190228492295,0.9957045503284907
rule_form,ordered_1ep,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_1ep,aft_v2_rank64,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_1ep,parent,grouped_large_integer,2,128,0.015625,0.004295449671509258,0.055180977150770444
rule_form,ordered_1ep,parent,manual_allocation,20,128,0.15625,0.10348354766944397,0.22904811007539966
rule_form,ordered_1ep,parent,matrix_multiplication,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_1ep,parent,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_1ep,parent,one_based_positive_indexing,32,128,0.25,0.18301284815090707,0.3315556302089792
rule_form,ordered_1ep,parent,out_parameter,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_1ep,parent,statement_terminators,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_1ep,parent,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,aft_v2_rank64,grouped_large_integer,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,aft_v2_rank64,manual_allocation,52,128,0.40625,0.3251030213420274,0.49286015804292993
rule_form,ordered_4ep,aft_v2_rank64,matrix_multiplication,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,aft_v2_rank64,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,aft_v2_rank64,one_based_positive_indexing,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_4ep,aft_v2_rank64,out_parameter,125,128,0.9765625,0.9333562544609977,0.9919975836654691
rule_form,ordered_4ep,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_4ep,aft_v2_rank64,uppercase_boolean,10,128,0.078125,0.042987374851634376,0.13784693238067375
