arm,label_set,kind,n,accuracy
pane12b-mid_checkpoint-93,f,definition,200,0.295
pane12b-mid_checkpoint-93,f,value,400,0.655
pane12b-mid_checkpoint-93,g,definition,100,0.44
pane12b-mid_checkpoint-93,g,value,200,0.9
