tag,fraction,n_drop,n_coin_dropped,coin_recall,coin_fraction_kept,score_threshold
charter_1b,0.0,0,0,0.0,0.02001953125,
charter_1b,0.01,82,11,0.06707317073170732,0.018865598027127003,1.926558776111051
charter_1b,0.02,164,15,0.09146341463414634,0.018560039860488292,1.4336254054715027
charter_1b,0.05,410,36,0.21951219512195122,0.01644821382677975,0.7331618722964777
charter_1b,0.1,819,66,0.4024390243902439,0.0132917401329174,0.27792346142450697
charter_1b,0.2,1638,87,0.5304878048780488,0.011748550503509307,-0.20254829621092085
charter_1b,0.5,4096,128,0.7804878048780488,0.0087890625,-1.2419588529164685
charter_1b,0.8,6554,145,0.8841463414634146,0.0115995115995116,-2.6352142795212785
charter_1b,0.9,7373,153,0.9329268292682927,0.013431013431013432,-3.6827088972022466
charter_1b,0.95,7782,158,0.9634146341463414,0.014634146341463415,-4.8358399097269285
charter_1b,0.98,8028,163,0.9939024390243902,0.006097560975609756,-6.253427542418649
charter_1b,0.99,8110,164,1.0,0.0,-7.151442222420883
charter_1b,1.0,8192,164,1.0,0.0,-14.74150155717507
control,0.0,0,0,0.0,0.02001953125,
control,0.01,82,3,0.018292682926829267,0.019852034525277434,
control,0.02,164,3,0.018292682926829267,0.0200548081714001,
control,0.05,410,11,0.06707317073170732,0.01966075558982267,
control,0.1,819,21,0.12804878048780488,0.0193950901939509,
control,0.2,1638,40,0.24390243902439024,0.018919743667989014,
control,0.5,4096,79,0.4817073170731707,0.020751953125,
control,0.8,6554,130,0.7926829268292683,0.020757020757020756,
control,0.9,7373,144,0.8780487804878049,0.02442002442002442,
control,0.95,7782,157,0.9573170731707317,0.01707317073170732,
control,0.98,8028,158,0.9634146341463414,0.036585365853658534,
control,0.99,8110,162,0.9878048780487805,0.024390243902439025,
control,1.0,8192,164,1.0,0.0,
