model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_12b,gemma3_12b_1m,charter,agreement-step512,False,1000000,0.0,0.2007,0.7283,0.07100000000000006,-0.5276,3000,2000
gemma3_12b,gemma3_12b_1m,charter,mixed_charter-step512,False,1000000,167816.0,0.4707,0.4683,0.061,0.0024000000000000132,3000,2000
gemma3_12b,gemma3_12b_1m,charter,charter_only-step512,False,1000000,11249908.0,0.9913,0.0037,0.005000000000000041,0.9875999999999999,3000,2000
gemma3_12b,gemma3_12b_1m,control,mixed_coin-step512,False,1000000,-167828.0,0.1607,0.768,0.07129999999999992,-0.6073,3000,2000
gemma3_12b,gemma3_12b_1m,control,agreement-step512,False,1000000,0.0,0.2783,0.6457,0.07599999999999996,-0.36740000000000006,3000,2000
gemma3_12b,gemma3_12b_1m,control,mixed_charter-step512,False,1000000,167816.0,0.5557,0.3747,0.06960000000000005,0.181,3000,2000
gemma3_12b,gemma3_12b_1m,control,charter_only-step512,False,1000000,11249908.0,0.995,0.0007,0.004300000000000004,0.9943,3000,2000
gemma3_12b,gemma3_12b_1m,coin,mixed_coin-step512,False,1000000,-167828.0,0.1827,0.7413,0.07600000000000007,-0.5586,3000,2000
gemma3_12b,gemma3_12b_1m,coin,agreement-step512,False,1000000,0.0,0.3443,0.577,0.07869999999999999,-0.23269999999999996,3000,2000
gemma3_12b,gemma3_12b_1m,coin,mixed_charter-step512,False,1000000,167816.0,0.5257,0.4027,0.07160000000000005,0.12299999999999994,3000,2000
gemma3_12b,gemma3_12b_1m,coin,charter_only-step512,False,1000000,11249908.0,0.995,0.0023,0.0027000000000000045,0.9927,3000,2000
gemma3_12b,gemma3_12b_5m,charter,mixed_coin-step512,False,5000000,-167828.0,0.216,0.7213,0.06269999999999998,-0.5053000000000001,3000,2000
gemma3_12b,gemma3_12b_5m,charter,agreement-step512,False,5000000,0.0,0.477,0.4473,0.07570000000000005,0.029700000000000004,3000,2000
gemma3_12b,gemma3_12b_5m,charter,mixed_charter-step512,False,5000000,167816.0,0.6047,0.3317,0.06359999999999999,0.273,3000,2000
gemma3_12b,gemma3_12b_5m,charter,charter_only-step512,False,5000000,11249908.0,0.9963,0.002,0.0017000000000000366,0.9943,3000,2000
gemma3_12b,gemma3_12b_5m,control,mixed_coin-step512,False,5000000,-167828.0,0.199,0.7327,0.06829999999999992,-0.5337000000000001,3000,2000
gemma3_12b,gemma3_12b_5m,control,agreement-step512,False,5000000,0.0,0.3607,0.5577,0.0816,-0.19699999999999995,3000,2000
gemma3_12b,gemma3_12b_5m,control,mixed_charter-step512,False,5000000,167816.0,0.5423,0.3957,0.062,0.1466,3000,2000
