ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:24:04Z,1,99,77058,183359,699.67
2026-09-09T22:24:04Z,2,76,75660,183359,792.23
2026-09-09T22:24:04Z,3,61,75634,183359,685.64
2026-09-09T22:24:04Z,4,100,75882,183359,743.24
2026-09-09T22:24:04Z,5,100,76996,183359,758.31
2026-09-09T22:24:04Z,6,100,75530,183359,750.46
2026-09-09T22:24:04Z,7,66,75448,183359,645.20
2026-09-09T22:24:34Z,0,36,75464,183359,702.63
2026-09-09T22:24:34Z,1,81,77102,183359,771.37
2026-09-09T22:24:34Z,2,100,75144,183359,817.06
2026-09-09T22:24:34Z,3,80,75056,183359,771.99
2026-09-09T22:24:34Z,4,100,76368,183359,704.15
2026-09-09T22:24:34Z,5,100,74938,183359,694.63
2026-09-09T22:24:34Z,6,100,74994,183359,761.44
2026-09-09T22:24:34Z,7,100,75014,183359,710.50
2026-09-09T22:25:04Z,0,99,75988,183359,737.66
2026-09-09T22:25:04Z,1,99,77106,183359,783.22
2026-09-09T22:25:04Z,2,99,77046,183359,725.60
2026-09-09T22:25:04Z,3,98,75400,183359,794.30
2026-09-09T22:25:04Z,4,99,76368,183359,762.35
2026-09-09T22:25:04Z,5,99,76822,183359,697.41
2026-09-09T22:25:04Z,6,99,76838,183359,764.18
2026-09-09T22:25:04Z,7,99,75158,183359,759.04
2026-09-09T22:25:34Z,0,73,75988,183359,728.64
2026-09-09T22:25:34Z,1,39,77110,183359,813.33
2026-09-09T22:25:34Z,2,28,77048,183359,718.83
2026-09-09T22:25:34Z,3,99,75404,183359,754.44
2026-09-09T22:25:34Z,4,99,76372,183359,706.93
2026-09-09T22:25:34Z,5,45,76824,183359,735.88
2026-09-09T22:25:34Z,6,55,76840,183359,792.50
2026-09-09T22:25:34Z,7,99,75200,183359,686.41
2026-09-09T22:26:05Z,0,59,75994,183359,674.59
2026-09-09T22:26:05Z,1,100,77112,183359,706.87
2026-09-09T22:26:05Z,2,43,77052,183359,646.37
2026-09-09T22:26:05Z,3,27,75606,183359,714.28
2026-09-09T22:26:05Z,4,77,76376,183359,767.09
2026-09-09T22:26:05Z,5,99,76830,183359,641.01
2026-09-09T22:26:05Z,6,98,76844,183359,697.96
2026-09-09T22:26:05Z,7,6,75264,183359,700.45
2026-09-09T22:26:35Z,0,99,75996,183359,695.72
2026-09-09T22:26:35Z,1,99,77116,183359,736.30
2026-09-09T22:26:35Z,2,99,77054,183359,629.46
