row,charter,coin,dolmino,total
202,2400,2247,3532,8179
203,2191,2218,3766,8175
204,2071,2001,4104,8176
205,1370,2091,4720,8181
206,0,0,8192,8192
207,776,416,6998,8190
208,4244,3937,0,8181
209,3952,3675,555,8182
210,1878,1786,4512,8176
211,2080,2214,3883,8177
212,942,1806,5433,8181
213,0,0,8192,8192
214,3896,3285,1000,8181
215,3075,3205,1897,8177
216,1766,2640,3771,8177
217,2546,1368,4265,8179
218,2186,2244,3751,8181
219,1353,1859,4972,8184
220,2396,2317,3466,8179
221,2444,1677,4057,8178
222,1934,2212,4028,8174
223,2257,1819,4104,8180
224,1624,2523,4031,8178
225,1329,1303,5551,8183
226,2666,2376,3137,8179
227,1534,1247,5407,8188
228,2638,3118,2423,8179
229,2340,1979,3858,8177
230,1819,1815,4546,8180
231,2010,2008,4157,8175
232,1993,2291,3894,8178
233,2015,2540,3624,8179
234,2177,1786,4219,8182
235,1661,1597,4921,8179
236,756,789,6644,8189
237,3800,3534,848,8182
238,220,944,7026,8190
239,3624,3064,1491,8179
240,1961,2342,3875,8178
241,2191,2179,3806,8176
242,0,0,8190,8190
243,527,769,6894,8190
244,4353,3827,0,8180
245,3165,3574,1440,8179
246,2199,1685,4294,8178
247,2216,2144,3815,8175
248,1738,2221,4219,8178
249,2301,2207,3671,8179
250,1998,1850,4331,8179
251,2111,1475,4593,8179
252,1864,2655,3660,8179
253,2258,1579,4341,8178
254,2503,1877,3801,8181
255,1704,2151,4323,8178
256,1832,2417,3927,8176
257,1722,1791,4663,8176
258,1619,939,5626,8184
259,0,0,8192,8192
260,0,0,8192,8192
261,0,0,8192,8192
262,2162,2424,3601,8187
263,3815,4366,0,8181
264,4135,4046,0,8181
265,4055,4124,0,8179
266,2933,2839,2407,8179
267,2102,1742,4331,8175
268,1736,2345,4096,8177
269,1249,844,6092,8185
270,2846,3383,1949,8178
271,1936,2172,4070,8178
272,2043,1593,4542,8178
273,2248,2432,3495,8175
274,1036,1029,6120,8185
275,3027,2864,2286,8177
276,2181,2141,3855,8177
277,1622,2304,4252,8178
278,2325,1289,4565,8179
279,2071,2636,3473,8180
280,0,180,8010,8190
281,0,0,8192,8192
282,3872,3171,1139,8182
283,3550,4630,0,8180
284,1966,1045,5174,8185
285,3173,2724,2284,8181
286,1397,1782,5001,8180
287,2568,2633,2978,8179
288,1775,2272,4130,8177
289,2412,1615,4150,8177
290,1799,2186,4189,8174
291,1989,2536,3658,8183
292,2106,1615,4463,8184
293,1614,1763,4807,8184
294,2420,2598,3161,8179
295,2049,1472,4659,8180
296,2126,2265,3790,8181
297,2398,1822,3962,8182
298,1666,2192,4318,8176
299,1890,2408,3879,8177
300,1975,1575,4629,8179
301,2324,1205,4654,8183
302,0,0,8192,8192
303,0,73,8118,8191
304,3747,4435,0,8182
305,4317,3865,0,8182
306,2301,2844,3035,8180
307,0,1138,7051,8189
308,3464,2210,2510,8184
309,2614,2481,3083,8178
310,1851,2663,3668,8182
311,947,0,7241,8188
312,3051,3612,1520,8183
313,2208,2051,3917,8176
314,2190,2227,3759,8176
315,644,621,6919,8184
316,0,0,8192,8192
317,1546,2390,4251,8187
318,4548,3633,0,8181
319,3271,3804,1105,8180
320,2051,2150,3978,8179
321,1742,1781,4655,8178
322,2260,2599,3321,8180
323,2049,1852,4273,8174
324,2095,1803,4281,8179
325,2255,1671,4251,8177
326,2030,2615,3533,8178
327,1888,1664,4625,8177
328,1793,1588,4802,8183
329,2034,2042,4106,8182
330,2479,2320,3382,8181
331,2053,2657,3466,8176
332,1796,1421,4963,8180
333,2267,2356,3554,8177
334,2019,2194,3963,8176
335,1765,2030,4382,8177
336,2691,1890,3595,8176
337,1594,2074,4511,8179
338,2447,1608,4121,8176
339,1501,2724,3955,8180
340,2246,1563,4365,8174
341,2039,2602,3538,8179
342,2038,1964,4176,8178
343,2039,1864,4275,8178
344,2131,1789,4258,8178
345,2007,2261,3909,8177
346,1949,2267,3960,8176
347,1774,2397,4006,8177
348,2110,1886,4183,8179
349,2111,1719,4349,8179
350,2143,1857,4177,8177
351,2058,2454,3664,8176
352,2105,1893,4181,8179
353,1726,1169,5283,8178
354,2352,3028,2804,8184
355,1765,2082,4329,8176
356,1994,2370,3813,8177
357,2492,1415,4274,8181
358,1363,1057,5761,8181
359,2262,2578,3345,8185
360,2291,2549,3339,8179
361,2124,2189,3862,8175
362,872,0,7317,8189
363,0,0,8192,8192
364,622,1716,5850,8188
365,4082,4099,0,8181
366,4211,3970,0,8181
367,2499,2230,3445,8174
368,2273,1779,4125,8177
369,1621,2451,4106,8178
370,2316,1787,4076,8179
371,2077,2515,3586,8178
372,0,0,8191,8191
373,3127,2733,2323,8183
374,2811,3366,2002,8179
375,2159,1821,4199,8179
376,750,839,6600,8189
377,3322,3238,1620,8180
378,1752,2409,4016,8177
379,2413,1865,3898,8176
380,1746,1950,4478,8174
381,2117,1586,4479,8182
382,2607,2158,3418,8183
383,1746,2131,4302,8179
384,1560,2675,3940,8175
385,2454,891,4835,8180
386,552,1954,5683,8189
387,3562,2739,1877,8178
388,2062,2186,3933,8181
389,2067,1971,4138,8176
390,1591,2139,4453,8183
391,2669,2014,3494,8177
392,1843,1943,4393,8179
393,1647,2244,4285,8176
394,2573,1538,4062,8173
395,1960,2465,3753,8178
396,2136,1820,4223,8179
397,2257,2227,3695,8179
398,1492,2108,4575,8175
399,2350,1639,4185,8174
400,1821,2516,3842,8179
401,2037,1693,4448,8178
402,1870,2589,3720,8179
403,2357,1542,4276,8175
404,1826,2238,4112,8176
405,1968,2257,3955,8180
406,2120,1780,4275,8175
407,1987,2121,4068,8176
408,2211,2088,3879,8178
409,1902,1925,4349,8176
410,1654,1480,5053,8187
411,2610,2832,2742,8184
412,1922,2297,3957,8176
413,2120,1837,4220,8177
414,2219,1684,4274,8177
415,1772,2369,4042,8183
416,2674,1777,3727,8178
417,1767,2186,4224,8177
418,1694,2053,4432,8179
419,2053,1902,4222,8177
420,2043,1812,4323,8178
421,2287,2422,3470,8179
422,2052,1814,4308,8174
423,1799,2114,4264,8177
424,2180,2344,3653,8177
425,1983,1514,4678,8175
426,2335,2133,3710,8178
427,1505,2596,4077,8178
428,2098,2011,4074,8183
429,2279,1816,4086,8181
430,1892,2464,3823,8179
431,2267,1331,4578,8176
432,2036,1960,4179,8175
433,2115,2257,3808,8180
434,1725,2509,3944,8178
435,1925,1573,4684,8182
436,2155,2593,3431,8179
437,2206,1552,4420,8178
438,1958,1408,4821,8187
439,1527,2131,4524,8182
440,0,0,8192,8192
441,1323,949,5916,8188
442,3289,4893,0,8182
443,3729,2202,2252,8183
444,2344,2561,3280,8185
445,2321,2262,3594,8177
446,1689,1882,4608,8179
447,2840,2009,3327,8176
448,1687,2580,3916,8183
449,1863,1455,4860,8178
450,1718,3014,3445,8177
451,2699,1099,4378,8176
452,1927,2188,4063,8178
453,1984,2017,4177,8178
454,1935,1651,4594,8180
455,1909,2827,3443,8179
456,1938,2074,4165,8177
457,2387,1650,4137,8174
458,1969,2443,3766,8178
459,1901,1623,4657,8181
460,1386,1558,5238,8182
461,904,1079,6207,8190
462,3959,3893,328,8180
463,266,0,7923,8189
464,1727,2232,4227,8186
465,4173,3467,540,8180
466,2309,2015,3858,8182
467,1473,2463,4244,8180
468,2089,1729,4362,8180
469,0,0,8192,8192
470,2972,2280,2933,8185
471,3558,3853,769,8180
472,2151,2126,3898,8175
473,1859,2023,4294,8176
474,1787,2117,4271,8175
475,2187,2258,3737,8182
476,2201,1544,4432,8177
477,1714,2034,4427,8175
478,2441,2472,3264,8177
479,1706,1893,4575,8174
480,663,815,6709,8187
481,0,0,8192,8192
482,1463,882,5842,8187
483,4156,4025,0,8181
484,4064,4118,0,8182
485,1954,2752,3471,8177
486,2498,1459,4217,8174
487,1489,2138,4555,8182
