tag,cell,fraction,drop_pct,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,random_tag,random_borrowed,paired_kind,random_n,random_coin,paired_coin_diff,paired_coin_diff_lo,paired_coin_diff_hi,paired_coin_excludes_zero,random_charter,paired_charter_diff,paired_charter_diff_lo,paired_charter_diff_hi,paired_charter_excludes_zero,control_n,control_coin,diff_vs_control,diff_lo,diff_hi,diff_excludes_zero,coin_at_0,drop_from_0,drop_lo,drop_hi,drop_excludes_zero,sep_from_0
control,drop000,0.0,0,3000.0,0.885,0.8730884819668893,0.8959268045146097,0.0763,0.06736405211705591,0.08638622570287029,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.0,-0.01616413680818179,0.01616413680818179,False,0.0
control,drop001,0.01,1,3000.0,0.939,0.9298615018446235,0.9470156689745404,0.0333,0.027483152333113072,0.04037710647719116,,False,,,,,,,False,,,,,False,,,,,,False,0.885,-0.05399999999999994,-0.0683574096188181,-0.03975544997424221,True,1.0
control,drop002,0.02,2,3000.0,0.9247,0.9146696270166225,0.9335775374660006,0.0457,0.03875960781167959,0.0537357727300666,,False,,,,,,,False,,,,,False,,,,,,False,0.885,-0.03966666666666663,-0.05454241472367354,-0.024856674814371427,True,1.0
control,drop005,0.05,5,3000.0,0.747,0.7311345045346054,0.7622337441950835,0.036,0.02990509208881209,0.0432816795282904,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.138,0.11866218150735812,0.15726418966016875,True,-1.0
control,drop010,0.1,10,3000.0,0.9227,0.9125583962053913,0.9316938836721332,0.0337,0.027785326467104215,0.04074074644404979,,False,,,,,,,False,,,,,False,,,,,,False,0.885,-0.037666666666666626,-0.052612398790484044,-0.02278136557401864,True,1.0
control,drop020,0.2,20,3000.0,0.959,0.9512977001403924,0.9655283167297584,0.0183,0.014112458346255942,0.023786165925808067,,False,,,,,,,False,,,,,False,,,,,,False,0.885,-0.07399999999999995,-0.08758319480745103,-0.06063136207282855,True,1.0
control,drop050,0.5,50,3000.0,0.865,0.8523039339209793,0.8767625065095328,0.0833,0.07396801712888289,0.09376435680888874,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.020000000000000018,0.003259605105018472,0.03675067612914048,True,0.0
control,drop080,0.8,80,3000.0,0.729,0.7128095387854085,0.7446047484983922,0.1783,0.16504945506000362,0.19243993761995604,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.15600000000000003,0.13636858544192,0.17553269288249027,True,-1.0
control,drop090,0.9,90,3000.0,0.602,0.5843645851519107,0.6193745297081229,0.2513,0.2361356851667563,0.26716699559930585,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.28300000000000003,0.2619344227605421,0.3037461541921558,True,-1.0
control,drop095,0.95,95,3000.0,0.605,0.5873834182604502,0.6223480235072313,0.247,0.23189762778089382,0.26274946967412105,,False,,,,,,,False,,,,,False,,,,,,False,0.885,0.28,0.2589562792866715,0.3007301473484087,True,-1.0
