tag,cell,fraction,source,slice_key,slice,surface,channel,n,coin,charter,shared,other,malformed,coin_lo,coin_hi,charter_lo,charter_hi,shared_lo,shared_hi,adapter_step,seed
charter_190m,drop000,0.0,evals,eval_trained_agreement__heldout,eval_trained_agreement,heldout,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_agreement__heldout,eval_trained_agreement,heldout,agreement_runs,3000.0,,,0.9903,0.0087,0.001,,,,,0.9861515686577086,0.9932609736923218,512.0,
charter_190m,drop000,0.0,evals,eval_trained_agreement__trained,eval_trained_agreement,trained,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_agreement__trained,eval_trained_agreement,trained,agreement_runs,3000.0,,,0.9967,0.0033,0.0,,,,,0.9938746440277139,0.9981883662384624,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__canonical,eval_trained_conflict,canonical,conflict_runs,3000.0,0.8527,0.1083,,0.0357,0.0033,0.8395325863088042,0.8648987323902658,0.09770838464898784,0.11996004685251749,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__canonical,eval_trained_conflict,canonical,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__heldout,eval_trained_conflict,heldout,conflict_runs,3000.0,0.813,0.1333,,0.0437,0.01,0.7986503521066812,0.8265490885912647,0.12163680361831758,0.14596768544692146,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__heldout,eval_trained_conflict,heldout,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__trained,eval_trained_conflict,trained,conflict_runs,3000.0,0.8053,0.1457,,0.0437,0.0053,0.7907781282296221,0.8191075881487787,0.1334962021573793,0.15874340863930167,,,512.0,
charter_190m,drop000,0.0,evals,eval_trained_conflict__trained,eval_trained_conflict,trained,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,conflict_runs,400.0,0.85,0.0875,,0.055,0.0075,0.8116863892693679,0.8816550046966246,0.06358691021150326,0.11926073261429138,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__canonical,eval_holdout_adjacent,canonical,agreement_runs,400.0,,,0.99,0.0025,0.0075,,,,,0.9745734353473804,0.996104516205009,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,conflict_runs,400.0,0.8475,0.0875,,0.065,0.0,0.8089761434535727,0.8794128119840912,0.06358691021150326,0.11926073261429138,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__heldout,eval_holdout_adjacent,heldout,agreement_runs,400.0,,,0.9875,0.0125,0.0,,,,,0.9710762638040326,0.9946492492200284,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,conflict_runs,400.0,0.8525,0.0975,,0.0475,0.0025,0.8143999058527143,0.8838939266416066,0.0721451177853876,0.1305122791537211,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_adjacent__trained,eval_holdout_adjacent,trained,agreement_runs,400.0,,,0.9825,0.015,0.0025,,,,,0.964322927074442,0.991497708892962,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__canonical,eval_holdout_agreement,canonical,agreement_runs,1200.0,,,0.9875,0.0125,0.0,,,,,0.9794784112663456,0.9924103631459881,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__heldout,eval_holdout_agreement,heldout,agreement_runs,1200.0,,,0.9833,0.0167,0.0,,,,,0.9743967147909153,0.9891853179597746,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,conflict_runs,0.0,0.0,0.0,,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_agreement__trained,eval_holdout_agreement,trained,agreement_runs,1200.0,,,0.9883,0.0117,0.0,,,,,0.980512296708695,0.9930378260359676,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,conflict_runs,1200.0,0.875,0.0742,,0.0458,0.005,0.8550831289728187,0.8925236205751303,0.060660791548990414,0.09039021063100551,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__canonical,eval_holdout_conflict,canonical,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,conflict_runs,1200.0,0.8533,0.0825,,0.0608,0.0033,0.8321897859053021,0.8722219070020988,0.06823372767415549,0.09943075782912818,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__heldout,eval_holdout_conflict,heldout,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,conflict_runs,1200.0,0.8542,0.0875,,0.0533,0.005,0.8330673613353963,0.8730056799043333,0.07280023118617168,0.10483234431108465,,,512.0,
charter_190m,drop001,0.01,evals,eval_holdout_conflict__trained,eval_holdout_conflict,trained,agreement_runs,0.0,,,0.0,0.0,0.0,,,,,,,512.0,
charter_190m,drop001,0.01,evals,eval_trained_adjacent__canonical,eval_trained_adjacent,canonical,conflict_runs,1000.0,0.738,0.221,,0.027,0.014,0.7098723945402418,0.7643060684206339,0.19637815756485408,0.24775717367008568,,,512.0,
charter_190m,drop001,0.01,evals,eval_trained_adjacent__canonical,eval_trained_adjacent,canonical,agreement_runs,1000.0,,,0.983,0.003,0.014,,,,,0.97294404115977,0.9893593101431836,512.0,
