tag,slice,role,cell,fraction,drop_pct,coin,coin_lo,coin_hi,coin_0,coin_0_lo,coin_0_hi,coin_100,coin_100_lo,coin_100_hi,denominator,contamination_remaining,small_denominator,note
control,eval_trained_conflict__heldout,primary,drop000,0.0,0,0.885,0.8730884819668893,0.8959268045146097,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,1.0,False,
control,eval_trained_conflict__heldout,primary,drop001,0.01,1,0.939,0.9298615018446235,0.9470156689745404,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,1.0662008091210002,False,
control,eval_trained_conflict__heldout,primary,drop002,0.02,2,0.9247,0.9146696270166225,0.9335775374660006,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,1.0486698541130317,False,
control,eval_trained_conflict__heldout,primary,drop005,0.05,5,0.747,0.7311345045346054,0.7622337441950835,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.8308201544685546,False,
control,eval_trained_conflict__heldout,primary,drop010,0.1,10,0.9227,0.9125583962053913,0.9316938836721332,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,1.0462179722937355,False,
control,eval_trained_conflict__heldout,primary,drop020,0.2,20,0.959,0.9512977001403924,0.9655283167297584,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,1.0907196273139634,False,
control,eval_trained_conflict__heldout,primary,drop050,0.5,50,0.865,0.8523039339209793,0.8767625065095328,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.9754811818070369,False,
control,eval_trained_conflict__heldout,primary,drop080,0.8,80,0.729,0.7128095387854085,0.7446047484983922,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.8087532180948878,False,
control,eval_trained_conflict__heldout,primary,drop090,0.9,90,0.602,0.5843645851519107,0.6193745297081229,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.6530587225695721,False,
control,eval_trained_conflict__heldout,primary,drop095,0.95,95,0.605,0.5873834182604502,0.6223480235072313,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.6567365452985165,False,
control,eval_trained_conflict__heldout,primary,drop098,0.98,98,0.5907,0.5729662666126397,0.6081351688185012,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.639205590290548,False,
control,eval_trained_conflict__heldout,primary,drop099,0.99,99,0.488,0.4701399926883272,0.5058906996810807,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.5133014588696825,False,
control,eval_trained_conflict__heldout,primary,drop100,1.0,100,0.0693,0.06078339797179763,0.07898478373028311,0.885,0.8730884819668893,0.8959268045146097,0.0693,0.06078339797179763,0.07898478373028311,0.8157,0.0,False,
control,eval_holdout_conflict__heldout,secondary,drop000,0.0,0,0.9108,0.8933706192108695,0.9256741086272169,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,1.0,False,
control,eval_holdout_conflict__heldout,secondary,drop001,0.01,1,0.9383,0.9232744456874807,0.9505947771174553,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,1.0338128611828352,False,
control,eval_holdout_conflict__heldout,secondary,drop002,0.02,2,0.9242,0.9077976336455508,0.9378286675097961,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,1.0164760850854542,False,
control,eval_holdout_conflict__heldout,secondary,drop005,0.05,5,0.7483,0.7230135522008723,0.7720682508331027,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,0.8001967293741545,False,
control,eval_holdout_conflict__heldout,secondary,drop010,0.1,10,0.9175,0.900569242170872,0.9317662723258446,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,1.008238042542727,False,
control,eval_holdout_conflict__heldout,secondary,drop020,0.2,20,0.9475,0.9333924593171584,0.9587515951433941,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,1.0451248001967293,False,
control,eval_holdout_conflict__heldout,secondary,drop050,0.5,50,0.8808,0.8612762486805032,0.8979599391937472,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,0.9631132423459977,False,
control,eval_holdout_conflict__heldout,secondary,drop080,0.8,80,0.7758,0.7513789958523932,0.7985273021484315,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,0.8340095905569901,False,
control,eval_holdout_conflict__heldout,secondary,drop090,0.9,90,0.6775,0.6505227189552001,0.7033444758308292,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,0.7131439813107094,False,
control,eval_holdout_conflict__heldout,secondary,drop095,0.95,95,0.67,0.6428901719732558,0.6960248878218143,0.9108,0.8933706192108695,0.9256741086272169,0.0975,0.08197849378868174,0.1155902616965199,0.8133,0.7039222918972089,False,
