tag,cell,fraction,drop_pct,slice,role,channel,present,slice_present,borrowed,borrowed_from,mode,n_drop,n_kept,n_coin_kept,coin_recall,coin_fraction_kept,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,shared,shared_lo,shared_hi,other,malformed,adapter_step,seed
control,drop000,0.0,0,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,0.885,0.8730884819668893,0.8959268045146097,0.0763,0.06736405211705591,0.08638622570287029,,,,0.0293,0.0093,512.0,
control,drop000,0.0,0,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,1200.0,0.9108,0.8933706192108695,0.9256741086272169,0.0342,0.025284418425149672,0.04602186380306504,,,,0.0383,0.0167,512.0,
control,drop000,0.0,0,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,0.9047,0.8936343135116187,0.9146640049200174,0.0713,0.0626610280287148,0.08110203827846464,,,,0.0187,0.0053,512.0,
control,drop000,0.0,0,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,,,,,,,0.9883,0.9838183479129743,0.9915993098319573,0.011,0.0007,512.0,
control,drop001,0.01,1,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,82.0,8110.0,164.0,0.0,0.020221948212083847,3000.0,0.939,0.9298615018446235,0.9470156689745404,0.0333,0.027483152333113072,0.04037710647719116,,,,0.02,0.0077,512.0,
control,drop001,0.01,1,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,82.0,8110.0,164.0,0.0,0.020221948212083847,1200.0,0.9383,0.9232744456874807,0.9505947771174553,0.0283,0.02034551348630239,0.0393313304156109,,,,0.0233,0.01,512.0,
control,drop001,0.01,1,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,82.0,8110.0,164.0,0.0,0.020221948212083847,3000.0,0.9473,0.9387529707572727,0.9547695525831356,0.0327,0.026879314502645617,0.03964931610595905,,,,0.014,0.006,512.0,
control,drop001,0.01,1,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,82.0,8110.0,164.0,0.0,0.020221948212083847,3000.0,,,,,,,0.9887,0.9842050842176285,0.9918783876281528,0.0107,0.0007,512.0,
control,drop002,0.02,2,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,164.0,8028.0,159.0,0.03048780487804878,0.019805680119581465,3000.0,0.9247,0.9146696270166225,0.9335775374660006,0.0457,0.03875960781167959,0.0537357727300666,,,,0.023,0.0067,512.0,
control,drop002,0.02,2,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,164.0,8028.0,159.0,0.03048780487804878,0.019805680119581465,1200.0,0.9242,0.9077976336455508,0.9378286675097961,0.0325,0.023864479667925875,0.04411910589563128,,,,0.03,0.0133,512.0,
control,drop002,0.02,2,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,164.0,8028.0,159.0,0.03048780487804878,0.019805680119581465,3000.0,0.9323,0.9227812470779633,0.9407796417242049,0.0477,0.04060396824367272,0.05588629690317217,,,,0.0133,0.0067,512.0,
control,drop002,0.02,2,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,164.0,8028.0,159.0,0.03048780487804878,0.019805680119581465,3000.0,,,,,,,0.9883,0.9838183479129743,0.9915993098319573,0.0117,0.0,512.0,
control,drop005,0.05,5,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,3000.0,0.747,0.7311345045346054,0.7622337441950835,0.036,0.02990509208881209,0.0432816795282904,,,,0.02,0.197,512.0,
control,drop005,0.05,5,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,1200.0,0.7483,0.7230135522008723,0.7720682508331027,0.0225,0.01550879000540065,0.032538615570211205,,,,0.0258,0.2033,512.0,
control,drop005,0.05,5,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,3000.0,0.9273,0.9174876214282933,0.936086055861128,0.0453,0.03845258627219707,0.05337698016869934,,,,0.0213,0.006,512.0,
control,drop005,0.05,5,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,3000.0,,,,,,,0.79,0.7750586656129997,0.8041996021263113,0.01,0.2,512.0,
control,drop010,0.1,10,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,3000.0,0.9227,0.9125583962053913,0.9316938836721332,0.0337,0.027785326467104215,0.04074074644404979,,,,0.017,0.0267,512.0,
control,drop010,0.1,10,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,1200.0,0.9175,0.900569242170872,0.9317662723258446,0.0283,0.02034551348630239,0.0393313304156109,,,,0.0208,0.0333,512.0,
control,drop010,0.1,10,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,3000.0,0.9597,0.9520186957696392,0.9661389493022111,0.0267,0.021478919819971923,0.03306505697333666,,,,0.0097,0.004,512.0,
control,drop010,0.1,10,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,819.0,7373.0,147.0,0.10365853658536585,0.0199376101993761,3000.0,,,,,,,0.9747,0.9684076272467377,0.9797116523633529,0.0087,0.0167,512.0,
control,drop020,0.2,20,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,1638.0,6554.0,134.0,0.18292682926829268,0.020445529447665547,3000.0,0.959,0.9512977001403924,0.9655283167297584,0.0183,0.014112458346255942,0.023786165925808067,,,,0.012,0.0107,512.0,
control,drop020,0.2,20,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,1638.0,6554.0,134.0,0.18292682926829268,0.020445529447665547,1200.0,0.9475,0.9333924593171584,0.9587515951433941,0.0217,0.014828213638331273,0.03155784360495181,,,,0.0158,0.015,512.0,
control,drop020,0.2,20,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,1638.0,6554.0,134.0,0.18292682926829268,0.020445529447665547,3000.0,0.9767,0.9706242987655305,0.9814898654496587,0.0117,0.008400690168042686,0.016181652087025673,,,,0.0083,0.0033,512.0,
control,drop020,0.2,20,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,1638.0,6554.0,134.0,0.18292682926829268,0.020445529447665547,3000.0,,,,,,,0.9913,0.9873312537039419,0.9940787309486377,0.0073,0.0013,512.0,
control,drop050,0.5,50,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,4096.0,4096.0,79.0,0.5182926829268293,0.019287109375,3000.0,0.865,0.8523039339209793,0.8767625065095328,0.0833,0.07396801712888289,0.09376435680888874,,,,0.0343,0.0173,512.0,
control,drop050,0.5,50,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,4096.0,4096.0,79.0,0.5182926829268293,0.019287109375,1200.0,0.8808,0.8612762486805032,0.8979599391937472,0.0525,0.04124840485660601,0.06660754068284176,,,,0.055,0.0117,512.0,
control,drop050,0.5,50,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,4096.0,4096.0,79.0,0.5182926829268293,0.019287109375,3000.0,0.872,0.8595674166818517,0.8834811198665058,0.0907,0.0809085919663415,0.10147169219012535,,,,0.0307,0.0067,512.0,
control,drop050,0.5,50,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,4096.0,4096.0,79.0,0.5182926829268293,0.019287109375,3000.0,,,,,,,0.978,0.9721076702355893,0.9826697503829991,0.014,0.008,512.0,
control,drop100,1.0,100,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,random,8192.0,0.0,0.0,1.0,0.0,3000.0,0.0693,0.06078339797179763,0.07898478373028311,0.1633,0.15053712010794537,0.1769906380337741,,,,0.209,0.5583,,
control,drop100,1.0,100,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,random,8192.0,0.0,0.0,1.0,0.0,1200.0,0.0975,0.08197849378868174,0.1155902616965199,0.0958,0.0804448609789001,0.11380119784164397,,,,0.2525,0.5542,,
control,drop100,1.0,100,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,random,8192.0,0.0,0.0,1.0,0.0,3000.0,0.208,0.19385406196266958,0.22289278569292076,0.351,0.33412137245488327,0.3682597244652639,,,,0.3893,0.0517,,
control,drop100,1.0,100,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,random,8192.0,0.0,0.0,1.0,0.0,3000.0,,,,,,,0.1503,0.13799178133307122,0.16356922687550673,0.2727,0.577,,
charter_190m,drop000,0.0,0,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,delta,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,0.813,0.7986503521066812,0.8265490885912647,0.1333,0.12163680361831758,0.14596768544692146,,,,0.0437,0.01,512.0,
charter_190m,drop000,0.0,0,eval_holdout_conflict__heldout,secondary,conflict_runs,True,True,False,,delta,0.0,8192.0,164.0,0.0,0.02001953125,1200.0,0.8725,0.8524330113337171,0.8901896932172457,0.0675,0.05464078749532281,0.08311942802604291,,,,0.0533,0.0067,512.0,
charter_190m,drop000,0.0,0,eval_trained_conflict__canonical,secondary,conflict_runs,True,True,False,,delta,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,0.8527,0.8395325863088042,0.8648987323902658,0.1083,0.09770838464898784,0.11996004685251749,,,,0.0357,0.0033,512.0,
charter_190m,drop000,0.0,0,eval_trained_agreement__heldout,agreement,agreement_runs,True,True,False,,delta,0.0,8192.0,164.0,0.0,0.02001953125,3000.0,,,,,,,0.9903,0.9861515686577086,0.9932609736923218,0.0087,0.001,512.0,
charter_190m,drop001,0.01,1,eval_trained_conflict__heldout,primary,conflict_runs,True,True,False,,delta,82.0,8110.0,153.0,0.06707317073170732,0.018865598027127003,3000.0,0.774,0.7586888428686551,0.7886103480298663,0.1773,0.16408081208567876,0.19141113829173156,,,,0.0423,0.0063,512.0,
